,0,1
0,싸이다,to be wrapped (싸다) passive 이/가
1,보이다,to be seen (보다) passive 이/가 *to show causative 이/가
2,쓰이다,to be used (쓰다) passive 이/가
3,나뉘다,to be divided (나누다) passive 이/가
4,바뀌다,to be changed (바꾸다) passive 이/가
5,놓이다,to be placed (놓다) passive 이/가
6,쌓이다,to be piled (쌓다) passive 이/가
7,꺾이따,to be broken (꺾다) passive 이/가
8,섞이다,to be mixed (섞이다) passive 이/가
9,덮이다,to be covered (덮다) passive 이/가
10,뽑히다,to be selected (뽑다) passive 이/가
11,씹히다,to be chewed (씹다) passive 이/가
12,잡히다,to be caught (잡다) passive 이/가
13,밟히다,to be stepped on (밟다) passive 이/가
14,막히다,to be blocked (막다) passive 이/가
15,먹히다,to be eaten (먹다) passive 이/가
16,읽히다,to be read (읽다) passive 이/가
17,긁히다,to be scratched (긁다) passive 이/가
18,닫히다,to be closed (닫다) passive 이/가
19,잊히다,to be forgotten (잊다) passive 이/가
20,끌리다,to be pulled (끌다) passive 이/가
21,밀리다,to be pushed (밀다) passive 이/가
22,열리다,to be opened (열다) passive 이/가
23,풀리다,to come undone/solve (풀다) passive 이/가
24,물리다,to be bitten (묻다) passive 이/가
25,들리다,to be heard (듣다) passive 이/가
26,잘리다,to be cut (자르다) passive 이/가
27,불리다,to be called (부르다) passive 이/가
28,눌리다,to be pressed (누르다 ) passive 이/가
29,뚫리다,to be pierced (뚫다) passive 이/가
30,감기다,to be wound (감다) passive 이/가
31,담기다,to be filled (담다) passive 이/가
32,잠기다,to be locked (잠그다) passive 이/가
33,안기다,to be held (안다) passive 이/가
34,끊기다,to be cut (끊다) passive 이/가
35,빼앗기다,to be deprived (빼앗다) passive 이/가
36,씻기다,to be washed (씻다) passive 이/가
37,쫓기다,to be chased (쫓다) passive 이/가
38,찢기다,to be ripped (찢다) passive 이/가
39,믿기다,to be believed (믿다) passive 이/가
0,사고,accident
1,가스사고,gas accident
2,화재사고,fire accident
3,감전사고,electrocution accident
4,교통사고,traffic accident
5,접촉 사고,minor collision
6,음주운전 사고,drunk driving accident
7,신고하다,to register/notify (marriage; birth; document)
8,보험으로 처리하다,to handle through insurance
9,보험금을 받다,to receive insurance money
10,합의하다,to come to an agreement/settlement
11,합의금을 주다,to give settlement money
12,합의금을 받다,to receive settlement money
13,사건,incident
14,강도,armed robbery
15,절도,unarmed robbery (theft)
16,폭행,assult
17,사기,fraud
18,납치,kidnapping
19,살인,murder
20,피해자,victim
21,납치당하다,to be kidnapped
22,폭행하다,to be assulted
23,도난당하다,to be robbed
24,도둑맞다,to have something stolen
25,소매치기를 당하다,to be pick-pocketed
26,범인을 잡다,to catch a suspect
27,절도 혐의로 체포되다,to be arrested for theft
28,체포하다,to arrest
29,국도,national highway
30,발생하다,to occur/happen
31,인근,vicinity
32,이송되다,to be transferred to
33,치료를 받다,to receive treatment
34,모,mister/miss (used to refer to someone in news articles without using their full name)
35,사망하다,"to die (formal, official docs)"
36,보이스 피싱,voice phishing
37,피해액,(the amount of the) damage
38,혐의,suspicion/charge
39,긴급,emergency
40,세계적으로,worldwide
41,치안,public order/security
42,예방하다,to prevent
43,각종,various (각)
44,대처하다,to handle/cope with something
45,신속하게,rapidly
46,응급 환자,emergency patient
47,근로자들,workers
48,부당하다,to be unfair
49,부담하다,to take responsibility of something
50,112 범죄신고,police station phone number
51,"119 화재신고,응급환자",emergency phone number 911
52,"117 여성피해,학교폭력",violence against women and bullying phone number
53,123 가스 사고 신고,gas leak phone number
54,1345 외국인 종합안내센터,foreigner info center
55,1544-1350 외국인 근로자 보호 임금체불,center for protection of foreign workers
56,정밀검사,thorough medical exam
57,진단서,medical certificate
58,살인을 당하다,to be murdered
59,신고하다,to report (a crime/person)
60,사고를 당하다,to get in an accident (당)
61,다치다,to get hurt
62,교통사고를 내다,to cause a car accident (내다)
63,사고가 발생하다,for an accident to occur/happen
64,경찰서,the police
65,병원에 입원하다,to be hospitalized
66,늦잠을 자다,"to oversleep, get up late"
67,배탈이 나다,to have an upset stomach (나다)
68,시험을 망쳤다,to screw up on an exam/fail (망)
69,결혼식이 엉망이 됐어요.,The wedding became a mess. (엉망)
70,어제 계단에서 넘어졌어요.,"Yesterday, (I) fell down/on the stairs."
71,여행 내내 비가 왔어요.,It rained throughout (my) vacation.
72,신분증을 집에 두고 왔어요.,I left my ID card at home.
73,제 책 반납해 주세요.,Please return my book. (to the library)
74,정밀검사를 받다,to get a complete medical checkup
75,소풍,picnic (소)
76,나머지는 제가 할게요.,I'll do the rest/the remainder.
77,번역해 주세요.,Please translate this.
78,저 주시는 거예요?,Are you giving (it) to me?
79,잠깐 편의점 좀 갔다 올게요.,I go (and come back) to the convenience store briefly.
80,우유 좀 사다 줄래요?,Can you buy me some milk?
81,사다 드릴까요?,May I buy you ... ? (드리다 give)
82,진단서를 받다,to receive a medical certificate
83,전화로 통화 중이에요.,I’m on the phone. (I’m in the middle of a call)
84,남자 친구를 데리고 가세요.,Take (Go with/Bring) your boyfriend with you. (데리고 가다)
85,제 실수가 아닌데요.,It wasn’t my fault/mistake. (데요)
86,우선,first of all
87,사진을 찍어 두다,"to take photos (for some purpose, like evidence/insurance)"
88,길에서 폭행당했어요.,I was beaten/attacked on the street.
89,손등을 찍혔어요.,My back of my hand got smashed/stabbed. (찍히다)
90,범인은 잡혔대요?,Did they catch the criminal? (대요)
91,주위에서 일어나는 사건,incidents that have come in the area (주위)
92,빗길에,"a road slippery with rain, a road in the rain (에)"
93,2명 사망,2 deaths (명)
94,인근 병원,a nearby hospital
95,발생한 사고,the accident that occurred
96,폭행 혐의로 체포되다,to be arrested on charges of assault
97,어젯밤,last night (젯)
98,인하다,"be caused by, arise from"
99,사기로 인한 피해액,damages caused by a fraud
100,퇴원하다,to be discharged from the hospital
101,자유롭다,to be free (like a free person)
102,나도 이제는 자유롭게 살고 싶어요.,"I, too, want to live freely now. (나, 싶다)"
103,현장 주변,at the scene (현 + 주)
104,제체,"congested, stagnated"
105,정체를 빚고 있다,"for (traffic) to be congested, backed-up, jammed"
106,부당한 대우를 받다,to receive unfair treatment
107,임금 체불,overdue wages
108,외국인 근로자 보호,foreign worker protection
109,사고가 나다,for there to be an accident (whose fault is unknown 나다)
0,출생률,birth rate
1,태어나다,to be born (spoken)
2,출생하다,to be born (formal;official docs)
3,자라다,"to grow up, be raised"
4,성장하다,"to grow up, develop"
5,고령화,aging
6,나이를 먹다,to grow old
7,늙다,to age
8,사망률,death rate
9,죽다,to die (spoken)
10,사망하다,"to die (formal, official docs)"
11,출산율,"fertility rate (or maybe birthrate, lol)"
12,낳다,to give birth to (spoken)
13,출산하다,"to give birth to (formal, official docs)"
14,키우다,to raise
15,양육하다,to nurture
16,북한,North Korea
17,앙골라,Angola
18,잠비아,Zambia
19,높다,"to be high, tall"
20,낮다,"to be low, flat"
21,늘다,to increase (spoken)
22,줄다,to decrease (spoken)
23,증가하다,to increase (formal)
24,감소하다,to decrease (formal)
25,유아,toddler
26,저출산,low birth rate
27,진입하다,to enter into something
28,장려정책을 펼치고 있다,to have policies to promote
29,혜택을 받다,to benefit from something
30,상황,"circumstance, situation,"
31,시행되다,to take effect
32,장려금,government incentive money
33,지자체,local government
34,금액,amount
35,아동,child
36,청소년,youth/teenager
37,성인,adult
38,청년층,younger generation
39,장년층,older generation
40,노년층,elderly
41,국가별,regional
42,심각하다,"to be severe, serious"
43,부담스럽다,to be burdened
44,맞벌이,dual-income
45,지원하다,to support
46,양육,"nurture, raise"
47,재정적,financial
48,개인주의,individualism
49,확산되다,"to proliferate, spread"
50,신혼부부 전세 자금 지원,newlywed housing deposit subsidy
51,신혼부부 주택특별 공급,newlywed special housing subsidy
52,아이돌봄 서비스 지원,daycare service subsidy
53,"본인, 배우자 출산 휴가","maternity, paternity leave"
54,출산 장려금,childbirth grant
55,"보육료, 유아학비 지원",childcare education subsidy
56,가정양육수당 지원,low-income family subsidy
57,영유아 건강검진 지원,Infant and toddler health check-up subsidy
58,방과후 보육료 지원,afterschool program subsidy
59,다문화가정 보육교육비 지원,multicultural family education subsidy
60,양육비,child rearing expenses
61,평균수명,average life expectancy
62,유년인구,population of children
63,개교,"opening, founding (of a school)"
64,노약자,elderly or weak people
65,불치병,incurable disease
66,신약,new medicine
67,공익광고,public service advertisement
68,출산 장려 정책,policy to promote childbirth
69,에 불과하다,"to be just/only something (looking down, ex. Its just $5)"
70,부양하다,to fully support a person (financially)
71,얽매이다,"to be restricted, constrained"
72,최저 수준,lowest level
73,주요국,leading/major country
74,출산자녀 수,number of children born
75,통계청,National Statistical Office
76,천국인구추계,population projection/estimation (추계)
77,전체 거주자 가운데 외국인 비율,"Of the total residents, the percentage of foreigners"
78,거주자,resident (거)
79,비율,percentage
80,차이가 있다,to have a difference
81,국가별,country-by-country
82,유년인구,children's population
83,합계,"sum, total, aggregate"
84,추이,"development (of), progress"
85,출산율 및 출생아수,fertility rate as well as number of births per woman
86,고령화의 추이 및 전망,developments in aging as well as the future outlook
87,전망,view (a fine view); prospect/outlook (a look at the future)
88,의학 기술이 발달하다,for medical technology to develop
89,일반화하다,to generalize; popularize
90,회사를 경영하다,to manage a company/business 경
91,신약이 개발되다,for a new drug to be developed
92,불치병을 치료하다,to treat an incurable disease
93,급격히 증가하다,to rapidly increase (증)
94,노인 인구,elderly population (인)
95,약속 시간이 지나다,to be past the appointment time
96,가게를 가지고 있다,to have/own a shop (가지)
97,약속 시간을 잊어버리다,to forget the appointment time
98,한국에 거주하다,to reside in Korea
99,공짜로 얻다,to get something for free (as a gift)
100,생산가능인구,population that is potentially able to produce (children)
101,고령사회로 진입하다,to enter into an aged society
102,노인을 부양하다,to support the elderly
103,인구구성 불균형 문제,composition of the population imbalance issue
104,구성,composition
105,불균형,imbalance
106,수가 계속 증가하다,to continue to increase in number
107,도입,introduction
108,사회 적응 제도,social adaptation system
109,해결 방법,a solution (a method of resolving some problem)
110,장려,"encourage, promote"
111,정책,a policy
112,일자리를 만든다,to create jobs
113,육아를 담당하다,to be in charge of infant care
114,담당하다,to be in charge of; take responsibility of
115,루이스 기자가 취재했습니다,Reporter Louise is covering (the story).
116,시급히,at once; immediately
117,풀어 야 할 과제,an assignment that we have to solve
118,서울 도심,downtown Seoul
119,2학년이 두 학급,second grade has two classes (of students)
120,20명에 불과하다,to be nothing more than 20 people
121,전교생,the whole school (population)
122,강당,"lecture hall, assembly hall"
123,빼곡히 메우다,to be packed/crammed together (like sardines in a can)
124,메우다,"to crowd, pack, cram"
125,노인 복지관,senior center
126,당시,at that time; in those days
127,20세 미만,less than 20 years old
128,65세 이상,more than 65 years old
129,앞지르다,"to surpass, overtake, pass"
130,이르다,to arrive (at/in) get (to)
131,4배,4 times (something); quadruple
132,결국,after all (sentence starter)
133,한편,"meanwhile, on the other hand (sentence starter)"
134,즉,in other words (sentence starter)
135,숙련되다,to be skilled at something
136,노동력,"labor, workforce"
137,생산 현장에서 적극 활용하다,to be actively utilized on the shop floor
138,현장,"scene, place, spot (like of an accident or some working place)"
139,적극적,"active (actively involved), aggressive, enthusiastic"
140,활용하다,"to utilize, to put something to good use"
141,대책,"a measure (countermeasure, to combat some problem)"
142,연계하다,"to tie, connect, link with smthg"
143,동시,at the same time; concurrently
144,가방에 넣는 척하다,to pretend to put it into the bag
145,돌봐주다,to look after (someone)
146,배가 닿는 항구,a ship that reaches port
147,이들이 젊은 층의 자녀를,this class of young people's children
148,쓰레기를 내 놓는 사람,the person who takes out the trash
149,펼치다,to unfold; unroll
150,적다,to be few; small
151,조사하다,to investigate/look into (조)
152,자녀에 얽매인 삶이 싫다,to hate having one's life shackled to a child's (to be tied down by a child)
153,응답하다,"to respond, reply, answer"
154,개인주의가 확산되다,for individualism to spread
155,살펴보다,"to examine, search, check"
156,맘 놓고 하다,to put one's mind at ease
157,아끼다,"to save, economize, be thrifty"
158,혜택을 선택하다,to select benefits
159,금액이 다르게 책정되다,for the set price (amount) to vary
160,가격을 책정하다,to set/fix the price
161,셋째,third
162,넷째,fourth
163,출산 장려금을 지급하다,to pay a childbirth grant
164,지급하다,give (sb sth / sth to sb) pay (out)
165,보육,childcare; daycare
166,본인과 배우자,you and your spouse
167,아이돌봄,taking care of a child (childcare) 명사
168,잔업수당을 받다,to get paid for overtime work (receive overtime benefits)
0,신문사,newspaper company
1,기사,article (newspaper)
2,머리기사,"lead story/headline, cover story (headline)"
3,광고,advertisement
4,사설,editorial
5,정치면,political column
6,경제면,business column
7,사회면,social column
8,문화면,culture column
9,스포츠면,sports column
10,국제면,international news column
11,제호,"a title (magazine, book)"
12,1면 사진,front picture
13,지면,paper (magazine)
14,사진설명문,caption
15,주요 기사 안내,main/major news info (summary box found on the front page)
16,공중파 방송,public TV broadcast
17,유선 방송,cable broadcast
18,인터넷 방송,internet broadcast
19,기자,reporter
20,특파원,correspondent
21,취재하다,to gather/cover something
22,아나운서,announcer
23,보도하다,to report (media)
24,제작하다,to produce
25,프로듀서,producer
26,채널,channel
27,시청자,viewer
28,채널을 돌리다,to change the channel
29,시청하다,to watch TV (news)
30,프로그램,television program
31,생방송,live broadcast
32,속보,breaking news
33,재방송,rerun
34,뉴스,news
35,시사 프로그램,current affairs program
36,특집방송,feature broadcast
37,드라마,drama
38,스포츠 중계방송,sports broadcasting
39,예능 프로그램,entertainment program
40,수출되다,to be exported
41,판권,copyright
42,시나리오,scenario
43,쏠리다,to focus
44,색다르다,to be unconventional (positive way)/to be exotic
45,형식,a type/form
46,방영되다,to be broadcast
47,소통하다,to communicate
48,거주하다,to inhabit
49,구성원,member
50,운영되다,to become managed/operated
51,이주민,an immigrant
52,교육 방송,educational broadcast
53,친숙하다,to be familiar (with someone/thing 친숙하게 생각하다)
54,구사하다,to have a command (of something)
55,혼혈인,mixed blood/race person
56,호의적,favorable
57,방송 출연,appearance on TV
58,면,a newspaper column
59,정보 전달하다,to deliver information
60,지상파 방송,public broadcast (지)
61,뿐만 아니라,besides (뿐)
62,동창회,reunion party
63,잡지를 구독하다,to subscribe to a magazine
64,며칠 전부터,for the last few days
65,꾸준히,"steadily, consistently"
66,귀화를 하다,to be naturalized (Korean citizenship)
67,연예인들,celebrities
68,다운 모습,having a favorable appearance
69,답다,to be like (한국인다운 모습)
70,남자답다,to be manly (a man who fulfills his role as a man)
71,신선한 웃음,"fresh humor (new, refreshing humor)"
72,호의적,"kind, friendly, favorable (towards)"
73,등장하다,"to appear, make an appearance, come on (연극)"
74,거침없는 사람,"an outspoken, feisty person (driving forward past obstacles)"
75,입담,skill at talking
76,거침없다,"to be without hesitation, reserve, shyness, (effortlessly)"
77,발휘하다,"to demonstrate, show (one’s abilities)"
78,약방에 감초,"an indispensable thing/person (유재석, )"
79,감초,licorice (was used to sweeten medicine)
80,활약하다,to play an active part in
81,흔하다,"to be common, commonplace"
82,유창하다,"to be fluent, eloquent"
83,시기,opportunity/chance/period of time (시간 기간)
84,구사하다,to have a command of
85,연예계,the entertainment business
86,진출하다,"to push to the front, make a foray towards"
87,사로잡다,"to captivate, fascinate (시청자들)"
88,대체로,"generally, most, overall"
89,영향,"effect (on), influence (on)"
90,더빙,dubbing
91,빼놓다,"to leave something, somebody out"
0,먹이다,to feed 먹다 causative N을/를
1,녹이다,to melt 녹다 causative N을/를
2,죽이다,to kill  죽다 (to die) causative N을/를
3,내다,to take out 나다(to come out) causative N을/를
4,높이다,to raise 높다(to be high) causative N을/를
