사고	accident
가스사고	gas accident
화재사고	fire accident
감전사고	electrocution accident
교통사고	traffic accident
접촉 사고	minor collision
음주운전 사고	drunk driving accident
신고하다	to register/notify (marriage; birth; document)
보험으로 처리하다	to handle through insurance
보험금을 받다	to receive insurance money
합의하다	to come to an agreement/settlement
합의금을 주다	to give settlement money
합의금을 받다	to receive settlement money
사건	incident
강도	armed robbery
절도	unarmed robbery (theft)
폭행	assult
사기	fraud
납치	kidnapping
살인	murder
피해자	victim
납치당하다	to be kidnapped
폭행하다	to be assulted
도난당하다	to be robbed
도둑맞다	to have something stolen
소매치기를 당하다	to be pick-pocketed
범인을 잡다	to catch a suspect
절도 혐의로 체포되다	to be arrested for theft
체포하다	to arrest
국도	national highway
발생하다	to occur/happen
인근	vicinity
이송되다	to be transferred to
치료를 받다	to receive treatment
모	mister/miss (used to refer to someone in news articles without using their full name)
사망하다	to die (formal, official docs)
보이스 피싱	voice phishing
피해액	(the amount of the) damage
혐의	suspicion/charge
긴급	emergency
세계적으로	worldwide
치안	public order/security
예방하다	to prevent
각종	various (각)
대처하다	to handle/cope with something
신속하게	rapidly
응급 환자	emergency patient
근로자들	workers
부당하다	to be unfair
부담하다	to take responsibility of something
112 범죄신고	police station phone number
119 화재신고,응급환자	emergency phone number 911
117 여성피해,학교폭력	violence against women and bullying phone number
123 가스 사고 신고	gas leak phone number
1345 외국인 종합안내센터	foreigner info center
1544-1350 외국인 근로자 보호 임금체불	center for protection of foreign workers
정밀검사	thorough medical exam
진단서	medical certificate
살인을 당하다	to be murdered
신고하다	to report (a crime/person)
사고를 당하다	to get in an accident (당)
다치다	to get hurt
교통사고를 내다	to cause a car accident (내다)
사고가 발생하다	for an accident to occur/happen
경찰서	the police
병원에 입원하다	to be hospitalized
늦잠을 자다	to oversleep, get up late
배탈이 나다	to have an upset stomach (나다)
시험을 망쳤다	to screw up on an exam/fail (망)
결혼식이 엉망이 됐어요.	The wedding became a mess. (엉망)
어제 계단에서 넘어졌어요.	Yesterday, (I) fell down/on the stairs.
여행 내내 비가 왔어요.	It rained throughout (my) vacation.
신분증을 집에 두고 왔어요.	I left my ID card at home.
제 책 반납해 주세요.	Please return my book. (to the library)
정밀검사를 받다	to get a complete medical checkup
소풍	picnic (소)
나머지는 제가 할게요.	I'll do the rest/the remainder.
번역해 주세요.	Please translate this.
저 주시는 거예요?	Are you giving (it) to me?
잠깐 편의점 좀 갔다 올게요.	I go (and come back) to the convenience store briefly.
우유 좀 사다 줄래요?	Can you buy me some milk?
사다 드릴까요?	May I buy you ... ? (드리다 give)
진단서를 받다	to receive a medical certificate
전화로 통화 중이에요.	I’m on the phone. (I’m in the middle of a call)
남자 친구를 데리고 가세요.	Take (Go with/Bring) your boyfriend with you. (데리고 가다)
제 실수가 아닌데요.	It wasn’t my fault/mistake. (데요)
우선	first of all
사진을 찍어 두다	to take photos (for some purpose, like evidence/insurance)
길에서 폭행당했어요.	I was beaten/attacked on the street.
손등을 찍혔어요.	My back of my hand got smashed/stabbed. (찍히다)
범인은 잡혔대요?	Did they catch the criminal? (대요)
주위에서 일어나는 사건	incidents that have come in the area (주위)
빗길에	a road slippery with rain, a road in the rain (에)
2명 사망	2 deaths (명)
인근 병원	a nearby hospital
발생한 사고	the accident that occurred
폭행 혐의로 체포되다	to be arrested on charges of assault
어젯밤	last night (젯)
인하다	be caused by, arise from
사기로 인한 피해액	damages caused by a fraud
퇴원하다	to be discharged from the hospital
자유롭다	to be free (like a free person)
나도 이제는 자유롭게 살고 싶어요.	I, too, want to live freely now. (나, 싶다)
현장 주변	at the scene (현 + 주)
제체	congested, stagnated
정체를 빚고 있다	for (traffic) to be congested, backed-up, jammed
부당한 대우를 받다	to receive unfair treatment
임금 체불	overdue wages
외국인 근로자 보호	foreign worker protection
사고가 나다	for there to be an accident (whose fault is unknown 나다)
