먹이다	to feed 먹다 causative N을/를
녹이다	to melt 녹다 causative N을/를
죽이다	to kill  죽다 (to die) causative N을/를
내다	to take out 나다(to come out) causative N을/를
높이다	to raise 높다(to be high) causative N을/를
줄이다	to reduce 줄다(to decrease) causative N을/를
속이다	to cheat 속다(to be cheated) causative N을/를
끓이다	to boil s.t. 끓다(to boil) causative N을/를
눕히다	to lay s.t. down 눕다(to lie down) causative N을/를
넓히다	to widen 넓다 causative N을/를
앉히다	to seat 앉다 causative N을/를
읽히다	to make read 읽다 causative N을/를
입히다	to dress s.o. 입다 causative N을/를
익히다	to cook 익다 (to be cooked) causative N을/를
식히다	to cool s.t. 식다 (to cool) causative N을/를
알리다	to make known 알다 causative N을/를
얼리다	to freeze 얼다(to be frozen) causative N을/를
울리다	to make s.o. cry 울다 causative N을/를
살리다	to save someone's life 살다(to live) causative N을/를
돌리다	to turn s.t. 돌다 causative N을/를
늘리다	to increase 늘다 causative N을/를
말리다	to dry s.t. 마르다 causative N을/를
웃기다	to make laught 웃다 causative N을/를
맡기다	to entrust 맡다(to keep) causative N을/를
벗기다	to undress s.o. 벗다(to take off) causative N을/를
신기다	to put shoes on s.o.신다(to wear shoes) causative N을/를
숨기다	to hide s.t. 숨다(to be in hiding) causative N을/를
씻기다	to let wash 씻다 causative N을/를
재우다	to put to sleep 자다 causative N을/를
깨우다	to wake s.o. 깨다(to be awake) causative N을/를
태우다	to burn s.t. 타다(to burn) causative N을/를
세우다	to stop s.t. 서다(to be stopped) causative N을/를
비우다	to empty 비다(to be empty) causative N을/를
돋구다	to enhance 돋다(to rise) causative N을/를
낮추다	to lower 낮다 (to be low) causatives N을/를
늦추다	to extend, delay, postpone 늦다(to be late) causative N을/를
맞추다	to match 맞다(to fit) causative N을/를
