체류 자격을 변경하다	to change one's visa status
귀화 시험을 보다	to take a test to change one's nationality
요건을 갖추다	to satisfy the necessary conditions
절차를 밟다	to go through formalities (procedures)
심사에 통과하다	to pass examination/screening (심)
영주권을 받다	to receive permanent residence
국적을 취득하다	to acquire citizenship
국적을 변경하다	to change one's nationality
귀화허가 신청서를 제출하다	to submit an application for permission of naturalization
서류 심사를 통과하다	to pass a document screening process
면접 심사를 받다	to have an interview screening
귀화 허가통지서를 받다	to receive a permission of naturalization document
가족관계등록부를 신청하다	to apply for a family register
외국 국적을 포기하다	to renounce one's foreign citizenship
주민등록증을 발급받다	to receive a resident card
외국인등록증을 반납하다	to turn in (return) one's alien registration card
가족관계등록신고	registering a family status change registration form
외국국적포기신고	registering a foreign citizenship renouncement
외국국적포기확인	checking a foreign citizenship renouncement
주민등록신고	registering a resident form
등록기준지시구청	district office  you are registered with
읍사무소	countryside big district office
면사무소	countryside small district office
본국대사관	embassy of one's home country
출입국관리사무소	immigration office
주민센터	community service center
고충	difficulty,problem
의사소통에 어려움이 있다	to have difficulties in communication
비자 연장을 해야 하다	to have to extend/renew one's visa
국적이 없어서 불이익을 당하다	to be stateless and therefore disadvantaged
피해를 받다	to receive damage
체류 및 국적취득	residency and citizenship
목적	purpose/objective
영주 F5	permanent resident visa
자격 취득	qualification 취
날로	day by day
재입국허가	re-entry permission
주소지	address
지방선거	local election
건전하다	to be sound,healthy
자립하다	to be self-reliant
법무부장관	the Minister of Justice
인정하다	to admit into,accept into
소정의	small amount of
이수하다	to complete (a course of study)
이민정책	immigration policy
방향	direction
제도	rules/regulations (system)
과정	process
심사	screening
면제받다	to receive an exemption
귀화	changing one's nationality
국적회복	reinstatement of citizenship
단기체류 외국인	transient/short-term foreigners
거소신고	reporting one's residence
기출문제	test question (that came from a previous exam version)
해당	applicable thing
공무원	public official
차별 대우	discriminatory treatment
수수료	charge,fee
모국어	native language
허가를 받다	to get permission
취득하다	to acquire
변경하다	to alter,switch (경)
제출하다	to submit
반납하다	to return (something)
견디다	to endure,tolerate
적응하다	to adjust to
인권 침해	human rights violation
가정 불화	family feud,trouble
임금 체불	back pay (wages)
비자 변경	visa change
고충 상담	consultation
기출문제를 풀다	to solve sample test problems
부여	granting/giving
각	each/every
통지서	written notice
기준	standard/criteria
참고 견디다	to keep a stiff upper lip (grin and bear it)
굽	heel
성능이 뛰어나다	to give high performance (electronic product)
제법	considerably
서투르다	to be poor at, lacking, unskilled
통역	interpretation
힘이 들다	to be tough(onerous) (들다)
도움을 요청하다	to ask sb for help
주민자치센터	community center (independent org. 자치)
조언을 하다	to advise sb (조)
교육과정	course of study
지원	support, aid, backing
기권하다	to abstain
현황	present condition/state of affairs
법제사법분과위원회	the Legislation and Judiciary Committee
시험에 대비하다	to get ready for an examination
편이다	tend to be (~ᄂ/은/는 + 편)
빨리 끝난 편이에요.	It tends to be over quickly.
문제에 부닥치다	to run up against a problem
외국인치고	for a foreigner (grammar)
농구 선수	basketball player
행동하는 건 아기 같아요.	He/She acts like a baby.
안색이 안 좋다	for one's complexion to not be good
표정이 어둡다	for one to have a gloomy expression
상담사	counselor
절차를 순서대로	the order of the procedures
지속적	continuous
편의	a convenience
물어봐도 돼요?	May I ask why?
지위	status, position, rank
