회의를 준비하다	to prepare for a meeting
회의하다	to have a meeting
보고서를 작성하다	to write up a report
결재를 하다	to authorize
결재를 받다	to receive authorization
보고하다	to report on/present
외근을 나가다	to work out of the office
출장을 가다	to go on a business trip
근무하다	to work (in an office)
야근하다	to work overtime at night
월급	monthly salary
주급	weekly salary
일당	daily wage
연봉	annual income
수당	extra pay (for overtime work, or some benefit)
상여금	bonus pay
급여	wage/salary
직함	(someone's) title
사장	president
이사	chairman
부장	department head
과장	section chief
대리	deputy section chief
사원	employee
직장상사	work supervisor
직장동료	work colleague
부하직원	subordinate
휴가를 내다	to take a vacation
조퇴하다	to leave work early
결근하다	to be absent (from work)
누구나	anyone
바로	directly
일단	first/once
태도	attitude
관리	administration
비법	secret method
업무	business/work
이외	except/besides
개인적인	personal
주 5일 근무제	A 5 day work week
대다수	majority
경우	case, scenario
분명하다	to be clear/distinct
상관없다	to not matter (ns)
기분이 전환을 하다	to refresh one’s mind, to divert oneself.
입석만 있다	to have only standing room
너무 실망하지 마세요.	Don’t be too disappointed.
직함이 어떻게 되세요?	What’s your title?
성함이 어떻게 되세요?	What’s your name? (성함)
이름이 어떻게 되세요?	What’s your name? (이름)
졸리다	to feel sleepy, get drowsy
먹기 싫다	to hate to eat
표가 다 팔렸대요.	The tickets are all sold out.
당연하지요.	Of course. (당연)
편한 대로 하세요.	Do whatever is comfortable.
마음대로 하세요.	Do as you please. (can be rude depending on how you say)
둘다 좋아요.	I like both. (둘다)
둘다 똑같아요.	They are both the same/alike. (둘다)
먹고 살려고 일해요.	I work for a living. (먹고살리다)
지난번에도 같은 말을 했잖아요.	You said that last time, too. (잖아요)
용감하다	to be brave, have courage
과제를 하다	to do an assignment or task
화가 나다	to get angry (but not show)
화를 내다	to get angry and show
카드 대금을 결제하다	to make a card payment
좌석이 있다	to have seats remaining (like for a movie/concert)
먹든지 말든지	whether you eat or not
하든지 말든지	whether I do it or not
가든지 말든지	whether I go or not
시간이 있든지 말든지	whether I have time or not
퇴사하다	to resign from a company
그만두다	to quit one’s job
퇴직	retirement
업무 태도	work attitude (업무)
우는 모습을 보이면 안 돼요.	You shouldn’t show tears/have the appearance of looking sad.
세상에 공짜는 없어요.	There is no such thing as a free lunch.
업무 이외의	other than work (업무)
책임감이 가지다	to bring/have a sense of responsibility
입사하다	to join a company
업무 일지를 쓰다	to write a log of work that was done (office)
수업 일지를 쓰다	to write a log of what was done (school)
신입 사원	a new employee
영업 부서	sales and marketing department
회의에 참석하다	to attend a meeting
영업직	a sales job
출퇴근 시간이 어떻게 되나요?	What are your commuting hours?
출퇴근 길	the route you commute by
등교하다	to go to school (출근)
하교하다	to come home from school (퇴근)
아이를 안든지 업든지 해야겠어요.	I guess the child should be hugged or held (in one’s arms).
우선 제 소개를 할게요.	First of all, let me introduce myself.
궁금한 게 있어요.	I’m curious about some things./I have some questions.
나만의 방법	my own way/method
불이 꺼지지 않다	for the light to not go out/get turned off
직함에 따라	in accordance with one’s title (에 따라 grammar)
수직 관계	vertical relationships (사장, 사원)
수평이 맞는지 좀 봐 주세요.	Come see if I’ve leveled it correctly. (수평  horizontal, leveled picture/clock)
좀 더 분명하게 설명해 주시겠습니까?	Could you please explain it a bit more clearly? (분명, 주시곘습니까)
존댓말	honorific speaking (Korean)
점점 친해지다	to become friends bit by bit
오랜 시간이 걸리다	to take a long time
또한	also, to, as well (sentence connector)
함께 일하는 만큼	as well as working together(~는 만큼 grammar)
대인 관계	(inter)personal relationships
자기 관리	self-management
업무 이외의 일을 하지 마세요.	Don't do things other than work.
줄이다	to become reduced
