싸이다	to be wrapped (싸다) passive 이/가
보이다	to be seen (보다) passive 이/가 *to show causative 이/가
쓰이다	to be used (쓰다) passive 이/가
나뉘다	to be divided (나누다) passive 이/가
바뀌다	to be changed (바꾸다) passive 이/가
놓이다	to be placed (놓다) passive 이/가
쌓이다	to be piled (쌓다) passive 이/가
꺾이따	to be broken (꺾다) passive 이/가
섞이다	to be mixed (섞이다) passive 이/가
덮이다	to be covered (덮다) passive 이/가
뽑히다	to be selected (뽑다) passive 이/가
씹히다	to be chewed (씹다) passive 이/가
잡히다	to be caught (잡다) passive 이/가
밟히다	to be stepped on (밟다) passive 이/가
막히다	to be blocked (막다) passive 이/가
먹히다	to be eaten (먹다) passive 이/가
읽히다	to be read (읽다) passive 이/가
긁히다	to be scratched (긁다) passive 이/가
닫히다	to be closed (닫다) passive 이/가
잊히다	to be forgotten (잊다) passive 이/가
끌리다	to be pulled (끌다) passive 이/가
밀리다	to be pushed (밀다) passive 이/가
열리다	to be opened (열다) passive 이/가
풀리다	to come undone/solve (풀다) passive 이/가
물리다	to be bitten (묻다) passive 이/가
들리다	to be heard (듣다) passive 이/가
잘리다	to be cut (자르다) passive 이/가
불리다	to be called (부르다) passive 이/가
눌리다	to be pressed (누르다 ) passive 이/가
뚫리다	to be pierced (뚫다) passive 이/가
감기다	to be wound (감다) passive 이/가
담기다	to be filled (담다) passive 이/가
잠기다	to be locked (잠그다) passive 이/가
안기다	to be held (안다) passive 이/가
끊기다	to be cut (끊다) passive 이/가
빼앗기다	to be deprived (빼앗다) passive 이/가
씻기다	to be washed (씻다) passive 이/가
쫓기다	to be chased (쫓다) passive 이/가
찢기다	to be ripped (찢다) passive 이/가
믿기다	to be believed (믿다) passive 이/가
