개학하다	to have the school term begin
여름 방학하다	to have summer vacation
겨울 방학하다	to have winter vacation
학기	semester
학교에 입학하다	to be admitted to school
학교에 들어가다	to enter school
시험을 보다	to take a test
시험을 치르다	to take an exam
학교를 졸업하다	to graduate from school
학교를 마치다	to complete school
점수	points/score
평균	an average
성적	grades/marks
학년	school year
과목	subject
담임	homeroom teacher
성적 통지표	report card
구분	classification
국어	Korean
수학	math
사회	social studies
과학	science
중간고사	midterm exam
기말고사	final exam
출석	attendance
결석	absences (결석하다 - to be absent from school)
지각	lates
가정 통신문	school newsletter/home correspondence
인재들	talented people
교육목표	educational objectives (ns)
실력을 기르다	to develop one's ability
적성을 살리다	to nuture one's natural born ability (inherited from one's parents)
개성을 살리다	to develop one's individuality (own special character)
특기를 살리다	to develop the things you do better than others
소질을 개발하다	to develop the skills in order to do something well
자신감을 키우다	to boost one's self-confidence (build-up)
창의력을 키우다	to develop creativity
사고력을 키우다	to develop thinking skills
조기교육	early education
학교까지 태우다	to get a ride to school (passive)
씻기다	to be washed (passive)
의무교육	compulsory education
등록비	tuition fee
일반계	general (school type)
전문계	vocational (2 year school type)
특수목적 고등학교	special-purpose high school
교육열	education fever (parents who are obsessed with their kids education)
입학식	entrance ceremony
학기 사이사이에	at the interval of semesters
과정 기간	course period
대학수학능력시험 (수능)	University Admissions Test
치르다	to pay for
사교육	private education
진학률	entrance rate (of a school)
OECD회원국	OECD member country
경제 성장	economic growth
원동력	motivation, driving force
지나치게	excessively
소규모	small scale (small scale party)
과외	private lesson
어학연수	language study (usually abroad)
유형	category/type (유)
사교육비	private education fee
커지다	to expand
정부	government/administration
방과후학교	after school program
운영하다	to manage/operate
수능강의	CSAT program (Internet based learning program to prepare for the university admissions test)
강화하다	to intensify
노력을 기울이다	to focus one's efforts (on something)
포장하다	to wrap up/take out
끈으로 묶다	to tie up with string
화초	potted flower
시들시들하다	to be slightly wilted
햇볕	sunshine
비료	fertilizer
상처	wound/scar
아물다	to heal
소독하다	to disinfect
학교 명칭	school name
입학 연령	school entry age
평균 기온	average temperature
순서대로	in order of (importance)
좋은 교육을 통해	(by way of) getting a good education
맡다	to undertake, keep
입학시험	school entrance exam (no space)
중간에	in the middle
기말	end of term
인문계	humanities (accounting, business etc.)
유치원	kindergarten
혼자서 잘 먹다	to eat well on one's own (no 밥)
읽고 쓸 수 있다	to be able to read and write
드디어 다 했어요.	It's finally done. (드디어 at last)
기자입니다.	I'm a journalist.
30분 전에	30 minutes ago
복잡할 텐데요.	It will tend to be complicated.
내일 종일	all day tomorrow
사이에만	only between (1시부터 2시 사이에만)
성적이 대학 입시에 중요해요.	Grade are important for the college entrance exam.
최고의 컨디션	the best condition
일찍 재웠어요.	I sent him to bed early.
긴장하다	to be anxious, nervous (긴)
밥을 먹였어요.	I made him eat.
동생에게 자주 울렸어요.	I often made my brother cry.
택시를 세웠어요.	I stopped a taxi. (I made a taxi stop)
사람들을 울리고 웃겼어요.	(It) made the people cry and laugh.
1년에 여러 번	several times a year
자원	resource (--을 절약하다)
나타나다	to show up, appear, come into view (나타)
자신의 아이들	one's children
욕심	greed
대상	target, grand prize
지출	expense, spending (formal)
부담	a burden
부담을 주고 싶지 않아요.	I don't want to burden you with (my problems).
강의를 듣다	to attend a lecture(class)
어느 학교 다녀요?	What university did you go to?
대학교 예체능학부 다녀요.	I went to the 대학교 (college name) School of (학부) Art (예체).
미술 학사를 전공했어요.	I majored in art.
서울대학교 공대 기계공학부 다녀요.	I went to SNU School of Mechanical Engineering.
예체능계 고등학교	Arts High School ~계 is only for high school
자연계	Science, Math, Biology Studies (???)
