,0,1
0,명소,attraction; famous site
1,유적지,historic site
2,계곡,valley
3,피서,a cool/refreshing place during summer
4,일광욕,sunbathing
5,유물,"relic, artifact"
6,역사,history
7,식구,family member
8,추천하다,to recommend
9,여유,leisure time; spare time
10,딱,"exactly, perfectly, just"
11,항구,sea port
12,체험하다,to experience
13,사찰,Buddhist temple
14,명상,meditation
15,실제로,"actually, really"
16,목판,woodblock
17,새기다,"to carve, engrave"
18,새벽,dawn
19,예불,Buddhist service
20,기상하다,to get up/rise; out of bed
21,눈꺼풀,eyelid
22,천근만근,"heavy, sluggish"
23,싱겁다,to be bland
24,곤란하다,to have difficulty
25,기행문,traveler's journal
26,첫인상,first impression
27,평화롭다,peaceful
28,역사적,historic
29,건축 양식,style of building
30,감탄,"admiration, wonder, awe"
31,조각,"piece, slice"
32,장엄하다,"solemn, magnificent, magestic"
33,만족스럽다,satisfactory
34,보편적,universal
35,등재되다,to be registered/recorded
36,정상,summit
37,삼림욕,therapeutic stroll in park
38,해수욕,sea bathing/playing
39,모래찜질,sand bath
40,수상 레포츠,water/leisure sports
41,낚시,fishing
42,해산물,seafood
43,맛보다,to try tasting
44,관람하다,"to see, watch, view"
45,활기,"energy, vitality, vigor"
46,전통적,traditional
47,고즈넉하다,"quietly, peaceful"
48,싱싱하다,to be fresh
49,해변,"beach, seashore"
50,해안,"coast, seaside"
51,단풍을 구경하다,to look around at autumn leaves
52,피서를 즐기다,to enjoy a cool place in summer
53,수상 레포츠를 즐기다,to enjoy summer sports
54,해산물을 맛보다,to taste seafood
55,유물을 관람하다,to look at a relic
56,유적지를 방문하다,to visit a historic site
57,명상을 하다,to meditate
58,산 정상에 오르다,to climb to summit
59,활기가 넘치다,to be full of energy
60,삼림욕을 하다,to stroll in the woods
61,해수욕을 하다,to bathe/swim in sea
62,일광욕을 하다,to bathe in sun
63,모래찜질을 하다,to take a sand bath
64,시간이 나다,to spend time
0,입원하다,to be hospitalized
1,울리다,"to ring, sound"
2,망치다,"to spoil, ruin"
3,엉망,"wreck, mess, ruin"
4,접촉사고,minor collision
5,합의,settlement (money)
6,정밀검사,"scrutiny; complete, thorough check"
7,처리하다,"to deal with, handle"
8,진단서,"medical certificate, diagnosis"
9,폭행당하다,to be assaulted
10,복잡하다,"complex, crowded"
11,법인,"criminal, suspect"
12,찍히다,to be suspected as an offender
13,인근,vicinity
14,발생하다,"to occur, happen"
15,이송되다,to be transferred to
16,모,wool
17,보이스피싱,voice phishing
18,혐의,"suspicion, charge"
19,현장,"scene, site"
20,정체,identity
21,치안,"public order, peace"
