좌절하다	to be frustrated
고생하다	to suffer a hardship
실현하다	to realize (a dream)
성취하다	to achieve, accomplish
노력하다	to try, make effort
성과	results, outcome
당첨되다	to win smth
차리다	to set, prepare, fix
절대로	never
도전하다	to challenge
끈기	perseverence, endurance
완전히	completely
꽤	rather, pretty, fairly
현명하다	to be wise/sensible
혼례	wedding
이민자	immigrant
권리	right, claim
존중하다	to respect, honor
비례대표	proportional representation
선출되다	to be elected
실패	failure
간직하다	to keep; to treasure
장담하다	to guarantee, assure
이루다	to achieve/reach a goal/dream
키우다	to raise, rear, bring up
좇다	to follow, seek, obey
설계하다	to plan/map out
구체적	to be detailed, specific
계발	development, improvement
펼치다	to open; spread out; unfold
세우다	to set; to stand smth; to stop
도달하다	to reach, arrive at
절망	despair
꿈이 있다 	to have a dream 1
꿈이 가지다	to have a dream 2
꿈을 꾸다	to dream
꿈을 키우다	to grow a dream
꿈을 펼치다	to follow a dream
꿈을 이루다	to achieve a dream
꿈을 실현하다	to realize a dream
꿈을 좇다	to chase a dream
미래를 꿈꾸다	to dream of the future
미래를 설계하다	to shape the future
목표를 세우다	to set/establish a goal
목표를 정하다	to set/decide a goal
꾸준히 노력하다	steady effort
최선을 다하다	to try your best
끈기가 있다	to have perseverance, endurance
목표를 이루다	to fulfill a goal
성과를 얻다	to get results
성공을 거두다	to win/secure success
목표에 도달하다	to reach a goal
절망에 빠지다	to fall into despair
금메달을 따다	to win a gold medal
복권에 당첨되다	to win the lottery
학원을 차리다	to set up/prepare a hagwon
대표로 선출되다	to be elected representative
