첫인상	first impression
커플링	couple ring
구급차	ambulance
편찮다	unwell, sick, ill
굉장하다	wonderful, marvelous, great
낯설다	unfamiliar
적응하다	adapt, adjust
굽히다	yield, change, compromise, bend
꼬다	squirm, fidget, wriggle, twist
손가락질	point, finger at, blame, shun
섭섭하다	sorry, disappointed, regrettable
다정하다	kind, friendly, affectionate
종종	sometimes, occasionally, now and then
개인적	personal, individual
꿇다	surrender, give in
책상다리	desk/table leg, cross-legged
겪다	to experience, undergo, suffer
오해하다	to misunderstand, to misjudge
착각하다	illusion, delusion, mistaken, confused,
실수를 하다	to make a mistake
어려움을 겪다	to have/experience difficulty
적응이 되다	to be adapted
실례가 되다	to have/give and example
습관이 되다	to become a habit
고개를 돌리다	to turn one's head
눈이 빠지다	to keep eyes peeled
무릎을 꿇다	kneel down, go down on a knee
