입원하다	to be hospitalized
울리다	to ring, sound
망치다	to spoil, ruin
엉망	wreck, mess, ruin
접촉사고	minor collision
합의	settlement (money)
정밀검사	scrutiny; complete, thorough check
처리하다	to deal with, handle
진단서	medical certificate, diagnosis
폭행당하다	to be assaulted
복잡하다	complex, crowded
법인	criminal, suspect
찍히다	to be suspected as an offender
인근	vicinity
발생하다	to occur, happen
이송되다	to be transferred to
모	wool
보이스피싱	voice phishing
혐의	suspicion, charge
현장	scene, site
정체	identity
치안	public order, peace
대처하다	to handle, cope, deal with
도난	burglary, theft
분실	lost, missing
음주운전	drunk driving
감전사고	electric shock, accident
신고하다	to report
보험금	insurance
합의금	settlement money
강도	robber, mugger
절도	theft, burglary, larceny
살인	murder
사기	fraud, con, scam
납치	kidnap, abduction
피해자	victim
당하다	suffer, undergo
도둑맞다	to have smth stolen
소매치기	pickpocket
체포하다	to arrest, apprehend
김치를 담그다	to make kimchi
화재가 나다	fire breaks out
보험으로 처리하다	deal with smth through insurance
범인을 잡다	to catch a criminal
소매치기를 당하다	to be pickpocketed
교통사고가 나다	to be in a traffic accident
배탈이 나다	to have a stomach ache
엉망이 되다	to get into a mess/wreck; to get out of shape
