개성	individual, personal
맡다	take care of
모자라다	be short of, insufficient
얇다	thin
조기교육	early education
자신감	self-confidence
소질	talent/aptitude
발견하다	discover
대학입시	college entrance
치르다	pay, host, entertain, go through
과정	process
입학식	entrence ceremony
학년	year/grade
학기	semester
의무교육	compulsary education
등록금	tuition
진학	enter/go to school
특기	one's speciality
성적	records, results, grade
교육열	educational fervor, enthusiasm
연령	age
자원	volunteer
원동력	driving force, motive, drive
인재	talented, capable
뒤떨어지다	be behind, be out of
사교육	private education
과외	private lesson
어학연수	language study abroad
부담	burden
강화하다	intensify, strengthen, tighten up, build up
개학하다	to being school
통지표	advice slip
담임	homeroom teacher
점수	score, mark, grade
평균	average
출석	attendance, appearance
결석	absense
조퇴	early leave
통신문	correspondance, written message
실력	skill, ability
기르다	raise, rear up, cultivate
적성	aptitude
개발하다	to develop
창의력	ingenuity
사고력	thinking skills
