워낙	by nature, so, very
낙천적이다	to show optiminism
거절하다	to refuse, reject
감동적이다	to be touching
사과하다	to apologize
화해하다	to reconcile
보수적이다	to be conservative
수학여행	field trip
챙겨주다	to pack up, serve
헤어지다	to break up
환기	ventilation
사양하다	to decline, turn down
덤	extra free stuff
사용하다	to use, make use of
마당놀이	korean traditional outdoor play
사물놀이	korean traditional drum dance
흥	fun, pleasure, joy
들썩이다	to be excited
리듬	rhythm
느낌	feeling sense
배려	consideration, regard
열광시키다	make someone be crazing about smth
발현되다	to manifest, be revealed
뻗어나가다	to overgrow, spread out
장벽	wall, barrier, obstacle
사고방식	thinking method
독특하다	unusual, distinctive
수치스럽다	shameful, disgraceful
베풀다	to give/have/throw (party)
일상적이다	everyday, usual, ordinary
간섭	interference
섭섭하다	sorry, disappointed
개방적	open minded
폐쇄적	close minded, exclusive
진보적	progressive, liberal
보수적	conservative
비관적	pessimistic, gloomy
낙천적	optimistic
혈연	blood relation
중시하다	to emphasize, stress
의식	one's sense, awareness, consciousness
온정주의	paternalism
서열	status, rank
체면	face, appearance
정을 주다	show affection to
정이 넘치다	overflow of affection
정이 없다	have no consideration
정이 떨어지다	to fall out of affection
정을 느끼다	to feel affection
정이 많다	to have a lot of affection
정이 들다	to grow attached to
흥을 내다	to become interested
흥이 나다	to be/get excited
흥이 많다	a lot of excitement
혈연을 중시하다	emphasize blood relationship
온정주의가 있다	to have paternalism
서열을 중시하다	to emphasize status/rank
우리 의식을 느끼다	to feel sense of awareness
체면을 중시하다	to stress face/appearance
시간을 내다	to make time for
