환경	environment
보호	protection
증가	increase; growth
대기	atmosphere; air
오염	pollution
심각하다	to be serious, severe
안개	fog, mist
섭취	intake, ingestion, absorb
수면	surface (water); sleep
해결되다	to get solved
에너지난	energy shortage
유지하다	to keep; maintain
플러그	plug
구입하다	to purchase
가리다	to distinguish, differentiate
당장	right now
전문가	expert, specialist
국토	country, territory
매립하다	to bury waste in landfill
태우다	to burn
골칫거리	headache, trouble, nuisance
발생하다	to occur, generate
분해되다	to break down, decompose, disinigrate
엄청나다	to be huge, enormous, great
바람직하다	to be desirable, advisable
소각하다	to incinerate
성분	ingredient, component
배출되다	to release/discharge emissions
구체적	to be detailed, specific
캠페인	campaign
유해물질	toxic substance
방긋	smile
앞장서다	to lead, take initiative
순차	order, turn
가동	operation
지구온난화	global warming
이용하다	to exploit; take advantage of; utilize
매연	exhaust
수질	water quality
해양	ocean, sea
자제하다	to refrain from; repress/restrain
실내	interior
희망 온도	desired temperature
설정하다	to establish
보온	thermal, warmth
조절하다	to regulate
순환	circulation
조명	lighting
소등하다	to turn off lights
냉기	chilly air
카페인	caffeine
섭취	ingestion, absorb, take in
쓰레기를 버리다	to throw away trash
환경을 보호하다	to protect environment
쓰레기를 줄이다	to reduce trash
