가게	store
가깝다	to be close, near
가방	a bag
고프다	hungry
고향	hometown
관광	sightseeing, tour
구두	shoes
귀걸이	earings
그릇	bowl counter, bowl
기쁘다	glad
길다	long
끄다	put out, turn off
나쁘다	to be bad
낮다	to be late
높다	to be high
느리다	slow, sluggish
다양하다	various, diverse
도시다	city
따뜻하다	hot, warm, mild
마트	mart
많다	To be many, much
머리	head
멀다	to be far, distant
명소	attraction
모자	hat, cap
목걸이	necklace
바쁘다	to be busy
바지	pants
배낭	backpack
백화점	Department store
부츠	boots
비싸다	to be expensive
빠르다	to be fast (base form)
샌들	sandals
수업	lesson, class
쉬다	to take a rest
스카프	scarf
시계	clock, watch
시골	countryside
시장	market
싸다	to be cheap
아이스크림	ice cream
아프다	sick, hurt
안경	glasses
여러	many, several
예프다	pretty
운동화	running shoes
원피스	dress
일어나다	to get up, stand up
작다	small
적다	a few
전자사전	electronic dictionary
정장	suit (not 양복)
종류	kind, sort, type
주말	weekend
짧다	short
청바지	jeans
치마	skirt
크다	to be big
태관도	taekwondo
편리하다	comfortable
편의점	convenience store
피곤하다	to be tired
하루 종일	all day long
공기가 좋다	the air is good
