경찰관	police officer
계시다	stay (formal)
공무원	government employee
교사	teacher (not 선생님)
국수	noodles
국적	nationality
귀엽다	cute
날씬하다	slim, slender
낮	day, daytime
대학	university
댁	residence, -'s home (formal)
똑똑하다	smart
보통	usually
보통이다	normal
부지런하다	hardworking
불고기	bulgogi
생신	birthday (formal)
성격	personality, character
성함	name (formal)
외모	appearance
요리사	cook, chef
의사	doctor
잔	cup, glass, cup counter
잘생기다	handsome
주무시다	sleep (formal)
직업	job
진지	meal (formal)
착하다	kind, good natured
청소하다	to clean
친절하다	to be kind, friendly
통통하다	plump, chubby (fatter than fat)
할머니	grandma, old woman
할아버지	grandpa, old man
모자를 쓰다	to wear a hat
성격이 좋다	to have a good personality
안경을 끼다	to wear glasses
