고기	meat
고추	red pepper, chili
과일	fruit
국물	broth, soup
김치찌개	kimchi stew
끓이다	to boil
나중	later
닭	chicken
대추	jujube
돼지고기	pork
된장	soybean paste
된장찌개	soybean paste stew
두부	tofu
등산	hike
뜨겁다	hot, burning
맛	taste, flavor
맵다	spicy
무	radish
배추	cabbage
불고기	bulgogi
비빔밥	bibimbap
생선	fresh fish
샤브샤브	hotpot
쌀국수	rice noodles
양식	western food
양파	onion
여름	summer
인삼	ginseng
일식	Japanese food
재료	ingredient, material
중식	Chinese food
채소	vegetables
초밥	sushi
타다	burn
피자	pizza
한식	Korean food
건강에 좋다	to be good for one's health
