고객	customer
괜찮아요	it's ok
군만두	fried mandu
그릇	bowl counter, bowl
냉장고	refrigerator
뜻	meaning
맞다	right, correct
배달하다	to deliver
볶음밥	fried rice
분식집	korean snack restaruant
세탁기	washing machine
소개하다	to introduce
수도	capital city
시키다	to order, command someone
아파트	Apartment
앉다	to sit
양념치킨	spicy chicken
에어컨	air conditioner
열다	to open (a door, window, etc.)
울다	cry
웃다	laugh, smile
이모티콘	emoticon
자장면	black bean noodles
전화하다	to call
주문하다	to order, request
중국집	Chinese restaruant
지폐	paper money
탕수육	Chinese sweet and sour pork
통	watermelon counter, container, can
통장	bankbook, passbook
회의	meeting
휴가	vacation
휴게실	lounge
전화를 걸다	make a call
전화를 받다	to receive a call
전화를 끊다	hang up the phone
통화 중이다	the line is busy
전화를 바꾸다	change phones, give the phone to someone
차가 막히다	traffic jam
