결혼기념일	wedding anniversary
결혼식	wedding
단어	word
도장	stamp, seal
라면	ramen
미용실	beauty parlor
방법	way, method
붙이다	stick to
비밀번호	password
비자	visa
생년원일	birth date
서명	signature
서점	bookstore
성명	full name
센터	center
소포	parcel, package
수령	receive, accept
신분증	ID card
신청서약	request form
여권	passport
여름휴가	summer vacation
여행사	travel agency
연장하다	to extend, extension
예약하다	to make a reservation
외국인등록증	ARC card
우체통	mailbox 
우표	stamp
주민 등록 번호	social security number
출입국관리사무실	immigration office
표	ticket
현금 카드	debit card
후	after
돈을 찾다	to withdraw money
비자를 연장하다	to extend a visa
통장을 만들다	make a passbook
(편지/소포)를 보내다	receive a letter/package
