감다	to wrap (a bandage), close (one's eyes)
귀	ear
기침	cough
내과	internal medicine department
냉면	cold noodles
너무	too, overly, so, very
넘어지다	fall down
눈	eyes
눈병	eye infection
늦다	late
다리	leg
다치다	get hurt
동안	during
두통	headache, migraine
드리다	give, offer
발	foot
밴드	bandaid, bandage
버리다	throw away
부러지다	break, fracture
불다	blow, breathe
붕대	bandage
비타민	vitamin
뼈	bone
산부인과	OBGYN
상처	wound
생활	life
설사	diarrhea
소아청소년과	pediatrics
손	hand
식후	after meal
심하다	heavy, severe
씻다	wash, rinse
안과	ophthalmology
어깨	shoulder
엑스레이	x-ray
연고	ointment
열	fever, heat
이	tooth
이마	forehead
이메일	email
입	mouth
정형외과	orthopedics
주일	week
주차하다	to park
처방전	prescription
치과	dentist
코	nose
팥빙수	red bean bingsoo
푹	deeply (sleep)
한꺼번에	all at once
휴대전화	cellphone
힘들다	difficult, strenuous, troublesome
감기에 걸리다	catch a cold
배탈이 나다	have an upset stomach
열이 나다	have a fever
피가 나다	to bleed
멍이 들다	to get bruised
안약을 넣다	put in eyedrops 
주사를 맞다	to get a shot
밴드를 붙이다	put on a bandage, bandaid
연고를 바르다	apply ointment
아기를 낳다	give birth to a baby
담배를 피우다	to smoke
들어가다	go in
떠들다	chat
뛰다	run
만지다	touch
먼저	first
목	throat, neck
무릎	knee
무리하다	to overdo oneself
바르다	put on
