계절	season
공연	performance
기대되다	looking forward to
꿀	honey
나가다	go out
단오	Holiday of the 5th day of the 5th month on the lunar calendar
명절	holiday
모이다	gather, get together
보름달	full moon
생활용품	everyday, house-ware products
설날	Lunar new year
송편	halfmoon rice cake
식용유	cooking oil
연락하다	get in touch with
윶놀이	yunnori
음력	lunar calendar
조심하다	be careful
졸업	graduation
준비하다	prepare
친척	relatives
한과	korean snacks
한우	korean beef
홍삼	red ginseng
성묘를 하다	visit a grave
세배를 하다	New Year's bows
소원을 빌다	make a wish
송편을 빚다	make stuffed rice cakes
차례를 지내다	memorial service
그네를 타다	play on the swings
씨름을 하다	wrestle
초대를 받다	receive an invite
윶놀이를 하다	play yunnori
한복을 입다	wear a hanbok
