무슨	What, what kind of
가게	store
마시다	to drink
물	water
우유	milk
커피	coffee
과일	fruit
사과	apple
딸기	strawberry
포도	grapes
바나나	banana
수박	watermelon
채소	vegetables
밥	rice, meal
아침	breakfast; morning
양식	western food
일식	Japanese food
한식	Korean food
중식	Chinese food
계절	season
봄	spring
여름	summer
가을	autumn, fall
겨울	winter
단풍	fall foliage, autumn colors
피다	to bloom
날씨	weather
비	rain
덥다	to be hot
따뜻하다	hot, warm, mild
너무	too much
춥다	to be cold
시원하다	cool temperature
읽다	to read
신문	Newspaper
사다	To buy
바지	pants
씻다	wash, rinse
운동하다	exercise
기다리다	wait
가르치다	to teach
배우다	to learn
숙제하다	to do homework
좋아하다	to like
싫어하다	to dislike
찍다	to take (a picture)
사진	picture
자다	to sleep
피곤하다	to be tired
요가	yoga
수영	swim
야구	baseball
농구	basketball
한국어	Korean 
중국어	Chinese language
오늘	today
매일	Every day
자주	often, frequently
일찍	early
그래서	so, therefore
눈	eyes
많이	much, many
