계단	stairs
내려가다	go down
린스	rinse
마트	mart
샤푸	mechanical pencil
쇼핑하다	to shop
아래	the bottom, under
에스컬레이터	escalator
엘리베이터	elevator
올라가다	go up, climb, ascend
옷	clothes
이쪽	this side, this way
저쪽	that side, that way
직원	staff
층	floor, layer
갈아타다	change, transfer
값	value, cost
공부하다	to study
그럼	yes, of course, and
그리다	to long for
금요일	Friday
꼭	tightly, closely
나가다	go out
나오다	come out
날짜	date
내일	tomorrow
노래	song
누구	who
다음주	next week
받다	to receive
백화점	Department store
보내다	to send, spend time
부르다	call out, to say
빨리	hurry
사전	Dictionary
생일	birthday
샴푸	shampoo
손님	visitor, customer, guest
숫자	number
쉬다	to take a rest
얼굴	face
역	station
열심히	diligently
영화관	movie theater
오후	afternoon
요일	days of the week
외국인등록증	ARC card
저녁	evening; dinner
전화번호	phone number
정말	Really
제목	title, subject, topic
지하	underground
지하철역	subway station
집들이	housewarming party
초대하다	to invite
주다	to give
축하하다	to celebrate
춤	dance
타다	to ride
티셔츠	t-shirt
편의점	convenience store
실례합니다	excuse me
몇 번이에요?	what number?
몇 호예요?	What room number?
