가수	singer
공부하다	to study
공원	a park
공항	airprort
과자	candy
과장님	head of the department
관심	interest (in), concern (about)
교사	teacher (not 선생님)
극장	movie theater (not 영화관
꽃집	a flower shop
넣다	put in, add to
다니다	go to and from, make a trip
다르다	different, another, other
도서관	Library
돈	money
드라마	drama
문화	culture
비슷하다	similar, alike
비자	visa
비행기	airplane
사업기	businessman
생활	life
센터	center, meeting place, konglish
수영장	swimming pool
아들	son
아주	very
약	medicine
여행사	travel agency
연장하다	to extend, extension
영어	the English language
영화	movie
요가	yoga
요즘	these days
운동장	play ground, field
운전기사	driver
의사	doctor
이야기	story
장소	place, location
재미있다	to be interesting, fun, funny
조금	a little
지갑	wallet
직업	job
집안일	housework, personal business, family affairs
출입국관리사무실	immigration office
치마	skirt
콜라	cola
태관도	taekwondo
태관도장	taekwondo center
특히	in particular, especially
팝콘	popcorn
편지	letter
표	ticket
피안노	piano
하지만	but, however
학원	academy
혼자	alone
회사원	office worker
힘들다	difficult, strenuous, troublesome
ATM기기	ATM machine
돈을 넣다	to deposit money
돈을 보내다	to send money, transfer money
돈을 찾다	to withdraw money
영화를 보다	to watch a movie
한국어를 배우다	to learn Korean
