,0,1
0,가게,store
1,가깝다,"to be close, near"
2,가방,a bag
3,고프다,hungry
4,고향,hometown
5,관광,"sightseeing, tour"
6,구두,shoes
7,귀걸이,earings
8,그릇,"bowl counter, bowl"
9,기쁘다,glad
10,길다,long
11,끄다,"put out, turn off"
12,나쁘다,to be bad
13,낮다,to be late
14,높다,to be high
15,느리다,"slow, sluggish"
16,다양하다,"various, diverse"
17,도시다,city
18,따뜻하다,"hot, warm, mild"
19,마트,mart
20,많다,"To be many, much"
21,머리,head
22,멀다,"to be far, distant"
23,명소,attraction
24,모자,"hat, cap"
25,목걸이,necklace
26,바쁘다,to be busy
27,바지,pants
28,배낭,backpack
29,백화점,Department store
30,부츠,boots
31,비싸다,to be expensive
32,빠르다,to be fast (base form)
33,샌들,sandals
34,수업,"lesson, class"
35,쉬다,to take a rest
36,스카프,scarf
37,시계,"clock, watch"
38,시골,countryside
39,시장,market
40,싸다,to be cheap
41,아이스크림,ice cream
42,아프다,"sick, hurt"
43,안경,glasses
44,여러,"many, several"
45,예프다,pretty
46,운동화,running shoes
47,원피스,dress
48,일어나다,"to get up, stand up"
49,작다,small
50,적다,a few
51,전자사전,electronic dictionary
52,정장,suit (not 양복)
53,종류,"kind, sort, type"
54,주말,weekend
55,짧다,short
56,청바지,jeans
57,치마,skirt
58,크다,to be big
59,태관도,taekwondo
60,편리하다,comfortable
61,편의점,convenience store
62,피곤하다,to be tired
63,하루 종일,all day long
64,공기가 좋다,the air is good
0,고기,meat
1,고추,"red pepper, chili"
2,과일,fruit
3,국물,"broth, soup"
4,김치찌개,kimchi stew
5,끓이다,to boil
6,나중,later
7,닭,chicken
8,대추,jujube
9,돼지고기,pork
10,된장,soybean paste
11,된장찌개,soybean paste stew
12,두부,tofu
13,등산,hike
14,뜨겁다,"hot, burning"
15,맛,"taste, flavor"
16,맵다,spicy
17,무,radish
18,배추,cabbage
19,불고기,bulgogi
20,비빔밥,bibimbap
21,생선,fresh fish
22,샤브샤브,hotpot
23,쌀국수,rice noodles
24,양식,western food
25,양파,onion
26,여름,summer
27,인삼,ginseng
28,일식,Japanese food
29,재료,"ingredient, material"
30,중식,Chinese food
31,채소,vegetables
32,초밥,sushi
33,타다,burn
34,피자,pizza
35,한식,Korean food
36,건강에 좋다,to be good for one's health
0,결혼기념일,wedding anniversary
1,결혼식,wedding
2,단어,word
3,도장,"stamp, seal"
4,라면,ramen
5,미용실,beauty parlor
6,방법,"way, method"
7,붙이다,stick to
8,비밀번호,password
9,비자,visa
10,생년원일,birth date
11,서명,signature
12,서점,bookstore
13,성명,full name
14,센터,center
15,소포,"parcel, package"
16,수령,"receive, accept"
17,신분증,ID card
18,신청서약,request form
19,여권,passport
20,여름휴가,summer vacation
21,여행사,travel agency
22,연장하다,"to extend, extension"
23,예약하다,to make a reservation
24,외국인등록증,ARC card
25,우체통,mailbox 
26,우표,stamp
27,주민 등록 번호,social security number
28,출입국관리사무실,immigration office
29,표,ticket
30,현금 카드,debit card
31,후,after
32,돈을 찾다,to withdraw money
33,비자를 연장하다,to extend a visa
34,통장을 만들다,make a passbook
