,0,1
0,국화,national flower 國花
1,태극기,the national flag of Korea 太極旗
2,태극,the ying-yang symbol 太極
3,모서리,a corner / edge (not 귀퉁이)
4,괘,a trigram (shapes on the Korean flag) 卦
5,존귀,nobility 尊貴 (represented by the red on the 태극기)
6,희망,hope 希望 (represented by the blue on the 태극기)
7,조화롭다,harmonious (characterised by harmony) 調和
8,화합,"harmony, unity 和合 (화목하게 어울림) (not ...목, 조...)"
9,국경일,a National holiday 國慶日
10,국가기념일,a National memorial day 國家紀念日
11,달다,"to put up, hoist up (커튼, 깃발 등)"
12,애국가,the Korean national anthem 愛國歌
13,절,"a passage, paragraph / a verse (of a song) 節"
14,안익태,애국가의 작곡자 (1906 - 1965)
15,경례하다,to salute (국기에 대하여...) 敬禮
16,정의롭다,"to be righteous (characterised by righteousness, justice) 正義   "
17,충성하다,"[국가에, 주인에, 회사에] to be loyal to, devoted to 忠誠"
18,무궁하다,"to be eternal, infinite 無窮"
19,영광,honor 榮光
20,무궁화,한국의 국화 (Rose of Sharon) lit eternal flower 無窮花
21,문장,a crest (badge) / coat of arms
22,창제하다,to invent (전에 없던 것을 처음으로 만들거나 제정하다) 創製 (seemingly used primarily about the invention of 한글)
23,결합하다,[물체의] to combine / [남녀의] to unite (a couple) 結合
24,발음 기관,vocal organs 發音器官
25,백성,"[왕정 국가의] subjects / [대중] the common people, the public 百姓"
26,문맹,illiteracy 文盲
27,퇴치하다,to eradicate (a problem) 退治
28,제국,empire 帝國
29,일제,the Japanese empire 日帝
30,저항하다,"to resist (an enemy, police etc) 抵抗 (not 대...)"
31,순국선열,patriotic martyrs 殉國先烈
32,헌법,the Constitution (of a country) 憲法
33,삼일절,Independence Movement Day (3월 1일) 三一節 
34,현충일,Memorial Day (remembering patriotic martyrs) (6월 6일) 顯忠日
35,제헌절,Constitution Day (7월 17일) 制憲節
36,광복절,"Independence (from Japan, 1945) Day (8월 15일) 光復節"
37,개천절,National Foundation Day (of the Korean peninsular) (10월 3일) 開天節
38,한글날,Hangeul Day (10월 9일)
39,전후,"around (a time, age etc) 前後 (not 안팎, 무렵, 정도)"
40,자취,living apart from one's family 自炊
41,친족,relative 親族 (not ...척)
42,은퇴하다,to retire (from all work) 隱退
43,대략,"roughly, approximately 大略 (not ...충)"
44,그리,"not that, not very (used only in negative sentences)"
45,대체로,"mostly, generally 大體-"
46,다소,"slightly, somewhat 多少"
47,격차,"a gap, difference (in wages, between rich and poor etc) 格差"
48,기혼자,a married person 旣婚者
49,관공서,"public, government office 官公署"
50,명절,(national) holiday (추석 / 설날 only) 名節
51,통신,(method of) communication (e.g. 우편·전화) 通信
52,수단,"means, way, method  (목적을 이루기 위한 방법·도구) 手段"
53,간격,interval (시간적) / space (공간적) 間隔
54,전광판,electronic display board 電光板
55,경로,"a course, route (지나는 길) 經路"
56,단말기,"T-money card reader (on bus, subway) 端末機"
57,망,a net (also used as a suffix to mean network e.g. 도로__. 통신__) 網
58,보급되다,"to be propagated, disseminated (something physical in wide use) e.g. the internet PASSIVE 普及"
59,습득하다,"to acquire knowledge, learn 習得 "
60,매체,"media / a medium (대중__, 방송__) 媒體"
61,교양이 있다,"to have culture, sophistication, refinement 敎養이..."
62,두루,"widely, extensively (빠짐없이 골고루)"
63,수신료,"licence fee (TV, radio) 手數料"
64,다루다,"(사람을 ) to treat, handle / (문제·일 등을) to cover /   (물건·상품 등을) to handle"
65,일간지,daily newspaper 日刊紙
66,정기,regular (time) 定期
67,접속하다,to access (particularly the internet) 接續
68,체계,a system 體系 (not 제도)
69,정년,retirement age 停年
70,누리다,"to enjoy (especially relating to life & health - 건강을, 삶을) "
71,사회 보험,"social insurance (mandatory to register, 4 types) 社會保險"
72,건강 보험,[**사회보험 4대**] health insurance 健康保險
73,고용 보험,[**사회보험 4대**] work [unemployment] insurance 雇傭保險
74,국민 연금,[**사회보험 4대**] national pension 國民年金
75,산업 재해 보상 보험,[**사회보험 4대**] industrial accident compensation insurance 産業災害補償保險
76,금전,"money (not 돈, ...화) 金錢"
77,공공부조,public aid / 'benefits' 公共扶助
78,최저생계비,the minimum cost of living 最低生計費
79,재활,rehabilitation 再活
80,훈련,"training 訓練 (not ...수, 교육)"
81,배우자,"spouse, partner 配偶者"
82,미성년,minor (under age) 未成年
83,산모,the mother (in relation to pregnancy) 産母
84,학업,study (e.g. my studies) 學業 (not ...문)
85,법무부,the Justice Department 法務部
86,근로자,a worker 勤勞者
87,농촌,farming village 農村
88,도시화,urbanisation 都市化
89,산업화,industrialisation 産業化
90,수도권,"the capital area (서울, 경기도) 首都圈"
91,확충하다,"to expand, enlarge the supply of something (e.g. 시설을, 도로망을, 예산을)  (not ...대, ...장) 擴充"
92,정비하다,"(자동차·시설·설비 등을) to maintain, repair, service 整備"
93,하수,sewage 下水
94,녹지,(도시의) green belt 綠地
95,확보하다,to secure (ensure that something is available) 確保
96,전원,the countryside 田園 (not 시골)
97,농가,a farm house / farming family 農家
98,비중,(relative) importance 比重 (not ...요)
99,농사를 짓다,to farm 農事를...
100,보살피다,"to look after, take care of (not 돌보다)"
101,귀농하다,to return to farming 歸農
102,귀촌하다,to return to the countryside 歸村
103,급증하다,to increase rapidly (짧은 기간 안에 갑자기 늘어나다.) 急增
104,추세,"a trend (social, economic etc) (어떤 일이나 현상이 일정한 방향으로 나아가는 경향) 趨勢"
105,의원,(hospital) clinic 醫院
106,보건소,public health centre 保健所
107,물리치료,physical therapy 物理治療
108,세밀하다,"to be detailed 細密 (not 상..., 자..., 정...)"
109,의뢰서,a written letter of request 依賴書
110,응급처치,first aid (emergency handling) 應急處置
111,면역,immunity (medical) 免疫
112,주입하다,"to inject, put something into / to implant (지식, 사상) 注入"
113,액체,"liquid, fluid 液體"
114,재난,"a disaster, catastrophe (NOT like a natural disaster) 災難"
115,파손되다,to be damaged ( 깨어져 못 쓰게 되다) PASSIVE 破損
116,표지판,a sign (like a roadsign) 標識板
117,노후되다,"to be worn out, time-worn PASSIVE 老朽"
118,여객선,passenger ship 旅客船
119,주도하다,"to lead, take the lead (set example for others to follow) (중심이 되어 어떤 일을 이끌다) 主導"
120,전개하다,"(경치가) to unfold, spread out / (사건을, 이야기를) to develop / (운동을)  to develop 展開"
121,대피,evacuation 待避
122,신문고,a system whereby citizens can report problems / issues to the authorities 申聞鼓
123,불길하다,"to be unlucky, ominous 不吉"
0,신하,a courtier below the king 臣下
1,이롭다,to be advantageous (characterised by advantage) 利- (not 유익)
2,조,article (e.g. 헌법의) 條
3,공화국,a republic (form of government) 共和國
4,주권,sovereignty (in democracy - the power given to the people to govern the country) 主權
5,행사하다,"to exert, exercise (influence, pressure, power etc) (부려서 쓰다 / 권리의 내용을 실제로 이루다) 行使"
6,존엄성,"dignity, sanctity (personality) 尊嚴性"
7,지향하다,"to aim for (in terms of one's purpose, objectives) 志向"
8,의사,"mind, idea, intention (무엇을 하고자 하는 생각) 意思"
9,역대,for generations (through history) 歷代
10,재임기간,period of incumbancy (time in office) 在任期間
11,민주 정치,democratic government 民主政治
12,제정하다,"to establish, enact (a law) (제도나 법률 따위를 만들어서 정하다) 制定"
13,항쟁,struggle / (political) resistance 抗爭
14,여당,the ruling party 與黨
15,정권,political power 政權
16,반발하다,"to resist, oppose, backlash against (a situation or action) 反撥 (not ...항)"
17,물러나다,"to step back, withdraw / to resign, step down from"
18,의지,"will, volition 意志"
19,의의,"meaning, significance, importance 意義 (not ...미)"
20,충족하다,to satisfy (일정한 분량을 채워 모자람이 없게 하다) 充足
21,직선제,direct election system 直選制
22,개헌,a constitutional amendment 改憲
23,국정,"government administration, processes (나라의 정치) 國政"
24,감사,formal inspection / audit 監査
25,견제하다,to keep (something) in check (상대방이 자유롭게 행동하거나 힘이 강해지지 못하도록 하다) 牽制
26,부활하다,"to revive, to bring back, to reinstate (죽었다가 다시 살아나다) 復活"
27,복수,plural 複數
28,소속되다,to be affiliated with PASSIVE (일정한 단체나 기관에 딸리게 되다) 所屬
29,집권,concentration of (political) power 執權
30,야당,opposition party 野黨
31,민주 공화국,a democratic republic 民主共和國
32,국민주권,[민주주의 3가지 원리] sovereignty of the people 國民主權
33,삼권분립,[민주주의 3가지 원리] division of government power into 3 branches 三權分立
34,법치주의,[민주주의 3가지 원리] governing through the constitution 法治主義
35,이해관계,"interest, concern (e.g. in the interest of teachers) 利害關係"
36,행정부,[삼권분립] the administrative branch of government (대통령 최고) 行政府
37,입법부,[삼권분립] the legislative branch (국회) 立法府
38,사법부,[삼권분립] the judicial branch (법원) 司法府
39,이승만,Korea's first President (1948 - 1960)
40,박정희,Korean President who oversaw the country's economic growth (1963 - 1979)
41,김대중,Korean President who oversaw 햇볕정책 towards North Korea (1998 - 2003)
42,단임제,single-term system (for Presidents in Korea) 單任制
43,광역,a wide area / region 廣域
44,자치,autonomy (self government) 自治
45,광역자치단체,"a self-governing region (도, 도시 etc) 廣域自治團體"
46,광역시,"metropolitan city (self-governing cities e.g. 대구, 인천, 부산) 廣域市"
47,4.19혁명,Protest movement in 1960 which led to resignation of 이승만 革命
48,5.18민주화운동,1980 (Gwangju) Democratization Movement 民主化運動
49,6월 민주항쟁,1987 June Democratic Uprising which led to the establishment of one-term presidency 6月民主運動
50,남용하다,to abuse (use more than one should / (권리나 권한 따위를) to abuse  濫用
51,의회,a council (local government) 議會
52,도지사,a governor (local government) 道知事
53,군수,a county governor 郡守
54,풀뿌리,grassroots (e.g. grassroots democracy)
55,집행하다,"(법을) to enforce, carry out (law enforcement) 執行"
56,허용하다,"to permit, allow 許容 (not ...락)"
57,지명하다,"to nominate, designate (decide and name a person for a job) 指名"
58,장관,a minister (of a government dept) 長官
59,법질서,law and order 法秩序
60,부처,government department (of which there are 17) 部處
61,지휘하다,"to command, direct, lead (a group) (목적을 효과적으로 이루기 위하여 단체의 행동을 통솔하다) 指揮"
62,중임,reappointment (reassigning a person to the same position or job that he/she has held when a reorganization takes place during his/her term of office or after his/her term of office is over) 重任
63,궁궐,a royal palace 宮闕
64,국회의사당,National Assembly building in 여의도 國會議事堂
65,해석하다,to interpret (something as something) 解釋
66,분쟁,"a dispute, conflict 紛爭 (not 갈등)"
67,재판,(legal) trial 裁判
68,판결,"a ruling, judgement (of a court) 判決"
69,법률,"law, legislation 法律"
70,어긋나다,"to run counter to, to go against (plan, rule etc)"
71,헌법재판소,the Constitutional Court 憲法裁判所
72,권위,"authority (별한 능력, 자격, 지위로 남을 이끌어서 따르게 하는 힘) 權威"
73,표출하다,"to express (oneself), to display/show (feelings etc) 表出"
74,갈등,"discord, conflict 葛藤 (not 분쟁)"
75,구성원,a member (of a group) 構成員
76,중재하다,"to mediate, arbitrate (분쟁에 끼어들어 쌍방을 화해시키다) 仲裁"
77,상충되다,to be contradictory / to be in conflict PASSIVE (맞지 아니하고 서로 어긋나게 되다) 相衝
78,사례,"an example, a case 事例 "
79,제기하다,"to raise, bring up (an opinion, problem etc) / (소송을) to file a lawsuit 提起"
80,규정,"rules, regulations 規定"
81,측정하다,"to measure, estimate (일정한 양을 기준으로 하여 같은 종류의 다른 양의 크기를 재다) 測定"
82,조성하다,"to make, create, construct (무엇을 만들어서 이루다) 造成"
83,대변하다,"to represent, speak for (someone) (어떤 사람이나 단체를 대신하여 그의 의견이나 태도를 표하다) 代辯"
84,집회,a (political) rally / assembly 集會
85,행진,a (political) march 行進
86,촛불집회,a candlelight rally (assembly) XX集會
87,온건하다,to be moderate (political views) (생각이나 말 또는 행동이 급하거나 과격하지 않다 [not radical]) 穩健
88,언론,"the press, the media 言論"
89,공유하다,to share 共有
90,동반하다,"to accompany, go (in company with) (일을 하거나 길을 가는 따위의 행동을 할 때 함께 짝을 하다) 同伴"
91,결성하다,"to organise, form (a group/society etc) (조직이나 단체 따위를 짜서 만들다) 結成"
92,회견,an interview (with the press) 會見
93,휴전,"cease-fire, truce 休戰"
94,철조망,barbed-wire fence 鐵條網
95,제2차 세계 대전,The Second World War 第二次世界大戰
96,패하다,"to lose, be defeated 敗 (not ...배, 지다)"
97,해방되다,"to be liberated, emancipated PASSIVE 解放"
98,식민지,a colony (empire) 植民地
99,심화하다,"to deepen, intensify, become more serious 深化"
100,협정,an agreement (political between countries) (서로 의논하여 결정함) 協定
101,연합,"an alliance, coalition, union 聯合 "
102,남북정상회담,South / North summit meeting (in 2000 and 2007) 南北頂上會談
103,개성공단,Gaeseong Industrial Complex 開城工團
104,이산가족,families separated by the DMZ 離散家族
105,중지하다,"to stop, abandon 中止 (not ...단)"
106,당사국,the countries directly involved 當事國
107,분단하다,"to divide, partition (the Korean land, esp) (동강이 나게 끊어 가르다) 分斷"
108,국방,national defence 國防
109,선언,"announcement, declaration 宣言"
110,자주적,independent (without help from others) 自主的 
111,체제,system (e.g. political) 體制 (not ...계)
112,성사되다,to be accomplished PASSIVE (일이 이루어지다) 成事
113,번영,prosperity 繁榮
114,강대국,powerful nation 强大國
115,밀접하다,"to be in close contact, to be closely related 密接 (not 긴...)"
116,점령하다,"to occupy, capture (a territory with an army) (무력으로 어떤 장소나 공간을 빼앗아 차지하다) 占領"
117,별개로,"apart from, separate from 別個X"
118,우방,allied nation (서로 우호적인 관계를 맺고 있는 나라) 友邦
119,복구하다,to restore (to a situation before loss) 復舊 (not 회...)
120,재건하다,"to reconstruct, rebuild 再建"
