국민총소득	GNI gross national income (people's total income) 國民總所得
눈부시다	to be remarkable, extraordinary (lit: eyes dazzled)
국제통화기금	The IMF (International Monetary [Currency] Fund) 國際通貨基金
국내총생산	GDP (domestic total product) 國內總生産
주가	share prices 株價
파급되다	to be spread, extended PASSIVE (어떤 일의 여파나 영향이 차차 다른 데로 미치게 되다) 波及
경공업	light industry (making textiles, shoes etc) 輕工業
중화학공업	heavy chemical industry (oil, shipbuilding etc) 重化學工業
제조업	manufacturing industry 製造業
주축	a key role / central (to something) (전체 가운데서 중심이 되어 영향을 미치는 존재나 세력) 主軸
구조	a structure 構造
생명공학	biotechnology (life engineering) 生命工學
공학	engineering 工學
첨단산업	high-tech industry 尖端産業
1차 산업	primary industry (농업, 어업, 광산업) 一次産業
2차 산업	secondary industry (공업) 二次産業
3차 산업	tertiary industry (서비스업) 三次産業
자본	capital (money) 資本
철강	steel (metal) 鐵鋼
선박	ship (not 배) 船舶
반도체	semi-conductor 半導體
무역규모	trade volume (scale) - imports and exports貿易規模
돌파하다	to break through / to pass, exceed 突破
교육열	education fever 敎育熱
거듭하다	to repeat, to do several times (not 되풀이하다)
불황	(economic) recession, slump 不況
평면	flat surface, flat screen (e.g. TV) 平面
교역	trade, commerce 交易 (not 무...)
품목	an item, product 品目
해양구조물	offshore/sea construction (e.g. oil rigs) 海洋構造物
상위	high rank 上位
자유무역협정	free trade agreement (FTA) 自由貿易協定
발효되다	to come into effect PASSIVE 發效
타결되다	to have reached an agreement, settlement (between two parties in official negotiations) PASSIVE (의견이 서로 다른 사람이나 단체가 서로 양보하여 일이 끝맺어지다) 妥結
비준	ratification (조약이 맺어지는 것에 대하여 대통령이나 국가가 최종적으로 확인하고 동의하는 것) 批准
관세	duty, tariffs (trade tax) 關稅
매기다	to set (a price) / to calculate (a grade score, number)
타격	a physical blow / damage 打擊
뒤바꾸다	to reverse, change back
경제협력개발기구	OECD (economic co-operation development organisation) 經濟協力開發機構
지속가능 	sustainability (continuous possible) 持續可能
원조	aid (giving of resources or money in order to help) 援助 (not 지...)
후속	follow up 後續
최우선	the first priority 最優先
공동	co-operation, partnership 共同
대응하다	to deal with, take action, respond to (face a situation and answer it) 對應
보답하다	to repay (someone of something), to reward 報答
배수로	a drain / drainage channel 排水路
산림	forest 山林 (not 삼...)
수익금	profits (money) 收益金
소외되다	to be alienated, marginalised PASSIVE 疎外
역량	capability, ability (to do) (어떤 일을 해낼 수 있는 힘) 力量 (not 능...)
상호	mutual 相互 (not 서로) 
증권	a security (a certificate that has monetary value and can be traded - e.g. stocks, bonds)  證券
시중은행	a commerical bank 市中銀行
지방은행	a local (provincial) bank 地方銀行
자금	funds, money 資金
주되다	to be the main one, primary PASSIVE 主
금융실명제	financial real-name system (used in banks in Korea) 金融實名制
현금인출기	ATM (cash machine) 現金引出機
만기	expiry / maturity (of bonds etc) 滿期
채권	bonds (finance) 債券
상호저축은행	a mutual saving bank (higher interest) 相互貯畜銀行
부실하다	to be poor (in quality, health etc) 不實
예금보험제도	deposit insurance system (1인당 5천만원 보호) 預金保險制度
적립하다	to save up, to accumulate 積立
기금	a fund 基金
정기예금	a fixed-term deposit (for large lump sums) 定期預金
보통예금	a regular (normal) deposit savings account 普通預金
정기적금	fixed term installment savings 定期積金
인감	a seal (often used to sign contracts) 印鑑
시식하다	to sample, taste, try 試食
상설시장	permanent market (inc. 재래시장, 슈퍼마켓, 대형 마트, 백화점) 常設市場
상품명	product name 商品名
부가가치세	VAT (added value tax) 10% rate in Korea 附加價値稅
세율	tax rate 稅率
가격표	price tag 價格表
국세청	National Tax Service (Office) 國稅廳
연맹	a federation 聯盟
연대하다	to band together, come together (여럿이 함께 무슨 일을 하거나 함께 책임을 지다) 連帶
부인회	women's society / association 婦人會
국번	telephone exchange number 局番
원산지	place of origin (product) 原産地
건전하다	to be sound, healthy 健全
직업소개소	employment agency 職業紹介所
자영업	running one's own business 자신이 직접 관리하고 운영하는 사업 自營業
비정규직	temporary employment (informal work) 非正規職
계약직	contract work 契約職
일용직	one-day work 日傭職
사회보장제도	social security system 社會保障制度
줄임말	an abbreviation, shortened word
구직자	job seeker 求職者
학벌	one's educational background 學閥
학점	school grade / a credit (in an academic course) 學點
실무 경험	work (real work) experience 實務經驗
지표	index, indicator, pointer 指標
탐색하다	to explore, investigate, look into (드러나지 않은 사물이나 현상 따위를 찾아내거나 밝히기 위하여 살피어 찾다) 探索
구인광고	help-wanted (find person) advert 求人廣告
눈여겨보다	to watch closely, pay attention to (not 살펴보다)
적합하다	to be suitable for, appropriate for (일이나 조건 따위에 꼭 알맞다) 適合 (not ...당)
한국산업인력공단	Human Resources Development Service (Korea industry workforce public corp.) - offers development programs for the unemployed  韓國産業人力公團
