체결하다	to sign, agree, enter into (an agreement, contract) 締結 (not 맺다)
위조하다	to forge, fake (어떤 물건을 속일 목적으로 꾸며 진짜처럼 만들다) 僞造
변조하다	to falsify, doctor (이미 이루어진 물체 따위를 다른 모양이나 다른 물건으로 바꾸어 만들다) 變造
초청하다	to invite 招請 (not ...대)
출입국관리사무소	Immigration Office 出入國管理事務所
체류지	temporary place of residence 滯留地
동포	compatriot (re: Koreans who live in other countries) 同胞
소지자	holder, bearer 所持者
사증	a visa 査證
동등하다	to be equal (등급이나 정도가 같다.) 同等
사업장	a place of business 事業場
의거하다	to be based on, to follow (a law in the constitution) (어떤 사실이나 원리 등에 근거하다) 依據
이행하다	to fulfil, perform (a responsibility, promise, contract) until the end 履行
준법	obeying the law 遵法
납세	payment of taxes 納稅
착취하다	to exploit (a worker) 搾取
일컫다	to name, refer to, to mean (something)
해나가다	to get along (with life) (to do and go out/along)
재한외국인	Foreigners residing in Korea (in Korea foreigner) 在韓外國人
처우	treatment 處遇 (not 대...)
기본법	basic law / fundamental law 基本法
재한외국인처우기본법	Foreigners residing in Korea Treatment Law (2007) 在韓外國人處遇基本法
불합리하다	to be irrational, illogical 不合理
명시하다	to state clearly, make clear, elucidate (분명하게 드러내 보이다) 明示
이주하다	to move (residence) / to emigrate, immigrate (move country)  移住
한도	limit (degree to which one should not go beyond) (그 이상을 넘지 않도록 정해진 정도나 범위) 限度
민원	a civil complaint 民願
고용주	an employer 雇用主
대등하다	to be equal, even (in terms of power or ability) (어느 한쪽의 힘이나 능력이 낫거나 못하지 않고 서로 비슷하다) 對等 (not 동...)
시정하다	to rectify, correct (formal) (잘못된 것을 바르게 고치다) 是正 (not 고치다, 바로잡다)
협의회	consultation meeting 協議會
위원	a committee member  委員
자율적	autonomous 自律的
방범	prevention (of) crime 防犯
합동	doing together / joint 合同
순찰하다	to patrol 巡察
실질적	real, practical 實質的
인가	(official) permission, approval 認可
속지주의	the territorial principle (regarding birthplace & nationality) 屬地主義
