영아	baby / infant (만 0-2세 아이) 叛兒
유형	a type, category 類型 (not 종...)
취학	starting school (for the first time) 就學
수령하다	to receive (돈이나 물품을 받아들이다) 受領 (not 접...)
설립하다	to establish, found, set up (기관이나 조직체 따위를 만들어 일으키다) 設立 (not 신..., 창...)
공립	public (institution) 公立
민간인	civilian 民間人
사립	private (institution) 私立
구비 서류	required documents 具備書類
배정하다	(일을) to assign 配定
추첨 	a lottery (random selection) 抽籤
중점적	emphasis, as a priority重點的
고사	exam (학생들의 학업 성적을 평가하는 시험) 考査
학문	study (e.g. my studies) 學問 (not ...업)
학사 학위	a bachelor´s degree 學士學位
특화하다	to specialise (in) 特化
석사	a Masters (degree) 碩士
배출하다	to produce (e.g. a school producing students) 輩出
위주	with a focus on 爲主
보완하다	to remedy (a problem) / to supplement 補完
학력	academic ability 學力
지위	status, position, rank 地位
집계되다	(for a number of things) to be counted, tallied, totalled PASSIVE 集計
감당하다	to handle, cope with / (비용을) to be able to afford (어떤 일을 맡아 자기 능력으로 해내다) 勘當
찹쌀떡	glutinous rice cake filled with bean paste (like mochi)
신조어	a neologism (newly coined word) 新造語
이바지하다	to contribute to/towards (used with 에) (도움이 되게 하다) (어떤 일이나 대상이 잘되도록 도움을 주다) (not 기여)
정규	regular 正規
고3병	3rd year of high school sickness (stress because of exams) 高三病
열풍	a craze (when something is popular) 熱風
재외	abroad, overseas 在外
양성하다	to train, educate (가르쳐서 유능한 사람을 길러 내다) / to foster, cultivate (a skill or ability) (실력이나 능력 등을 길러서 발전시키다) 養成
평생교육	continuing education (lifelong education) 平生敎育
글자 그대로	literally (to the letter)
수강료	course fee 受講料
원격	remote (from a distance) 遠隔
고용노동부	Ministry of Employment and Labor 雇傭勞動部
위탁	trust (work entrusted to another person) (남에게 사물이나 사람에 대한 책임을 맡게 함) / 남에게 사무 등의 일을 맡게 함 委託
이중	double 二重 (not 두배)
제과	baking, confectionary 製菓
다중	multiple 多重
공동체	a community 共同體
