강수	precipitation 降水
포근하다	to be mild (weather)
개나리	forsythia (yellow flower - blooms in spring)
진달래	azalea (pink flower - blooms in spring)
삼가다	to refrain from (doing something) (어떤 것을 피하거나 양이나 횟수를 적게 하다.) / to be careful (말이나 행동을 조심해서 하다)
착용하다	to wear, put on 着用
집중 호우	localised heavy rainfall 集中豪雨
열대야	tropical night 熱帶夜
난로	heater 煖爐
지형	topography (land shape) 地形
산지	mountainous region 山地
평야	plain (flat region) 平野
동고서저	east high west low (Korea's topography) 東高西低
등줄기	(back) spine
산맥	mountain range 山脈 (not ...줄기)
해안	coast 海岸 (not 연...)
수심	water depth 水深
얕다	to be shallow (depth)
단조롭다	to be unchanging, monotonous (characterised by) 單調
갯벌	mud flats
터전	a lot, site (집터가 되는 땅) / a base, foundation (일의 토대)
멸종	extinction 滅種
물새	water birds
서식지	habitat 棲息地
생태계	ecosystem 生態系
연안	shore (바다, 강, 호수 등과 닿아 있는 땅) coast (땅과 닿아 있는 바다, 강, 호수 등의 물가) 沿岸 (not 해...)
산줄기	mountain range 山XX (not ...맥)
산행	hiking, mountain climbing 山行
고온다습	high heat & humidity - Korean summer 高溫多濕
천고마비	high sky and fat horses (sky high horse fat) (plenty) - Korean Autumn天高馬肥
한랭건조	cold and dry weather - Korean winter 寒冷乾燥
간척사업	reclamation project (reclaiming land from the sea) 干拓事業
좌우로	from left to right 左右로
이 분의 일	1/2 (one half) 
면적	area (e.g. of a country) 面積
분포하다	[동사] to be distributed, be spread (일정한 범위에 흩어져 퍼져 있다) 分布 (not 퍼지다)
도매	wholesale 都賣
복합쇼핑몰	a shopping mall complex 複合XXX
연계	connection, link 連繫
오가다	to come and go
화교	Chinese person living abroad 華僑
치장하다	to decorate (someone or something) (잘 매만져 곱게 꾸미다) 治粧
한중	(between) Korea and China 韓中
삼국지연의	Romance of the Three Kingdoms (famous Chinese historical novel) 三國志演義
담장	a stone/brick wall X牆 (not 벽)
경관	landscape, scenery (산, 들, 강, 바다 등의 자연이나 주변의 전체적인 모습) 景觀 (not ...치)
해돋이	sunrise 
항공편	a flight (airplane) 航空便
광물	mineral (resource) 鑛物
석탄	coal 石炭
채굴하다	to mine 採掘
폐광	disused mine 廢鑛
