취업	employment
직종	type of occupation
사무직	office job, white-collar job
생산직	blue collar job
서비스직	service sector job
자영업	self-employed
전문직	specialized job, professional
기술직	technical job
판매직	sales job, sales position
영업직	job in business, commerce, trade
게시판	bulletin board, BBS
기업	a business, enterprise, company
가게	a store, a shop
서류	a document, file
모집	job recruitment
이력서	a resume, CV
자기소개서	a self-introduction letter
경력증명서	certificate (career, employment)
자격증 사본	copy of certificates/licenses
전형 방법	screening/examination methods
