회식	a work dinner, company dinner
모임	a social gathering, meeting, get-together
송년회	year-end party
연말	end of the year
신년회	new year's party
송별회	farewell party, send-off
떠나다	to leave, depart, set off
동창회	alumni party, reunion
연합회	a coaliation, association, group (__~)
가입	join, enter
반상회	monthly neighborhood meeting
매달	every month
가족 모임	family gathering, get togther
시무식	opening ceremony (for the new year)
가지다	have, carry, possess, own
야유회	a picnic
교외	suburbs, outskirts
동호회	club, society, group
학부모회	parents' association
부녀회	women's society, group, association
부부 동반 모임	meeting with other married couples
참석	attend, participate
개회사	opening speech, address
귀반	an honored/distinguished guest, VIP
축사	congratulatory address, speech
회장 인사말	president's greetings, chairman's
마련하다	to arrange, provide, raise (money)
팔순	80 years
빛내	shine, burnish, illustrious, glory
사항	issues, matters, details
공지	announcement
폐회사	closing remarks
축가	song at a wedding
건배사	a toast (speech then drink)
안내 사항 공지	informational notice
백일 잔치	baby 100 day birthday
돌잔치	(baby) first birthday party (1 year)
