명령문	a statement
대신	take place of, substitute for, replace, in place of (하다)
전하다	to deliver, convey, communicate
보호자	guardian, protector
수익금	profits, proceeds
바자회	bazaar, rummage sale
노숙자	a homeless person
봉사 활동	volunteer work, volunteer activity
김장	making kimchee
권장하다	to encourage, recommend, promote
들르다	to stop by, drop by, (informal) visit
헌	time, occasion, #
의지하다	to rely on, lean on, depend on, reliance
교류하다	exchange, interchange
기르다	1) to raise, rear, bring up 2) cultivate 3) train
기부 물품	donated goods, contributes articles
급식 배급	food distribution, provide meals
다니다	to go to and from (a place)
시설	equipment, facilities, an establishment
기부	donation, contribution
주위	around, surroundings
