추측하다	to guess, assume, presume, surmise
데리고 살다	to take care of ㄷ (강아지, 사람, 조카, 동생)
모시고 살다	to take care of ㅁ (할머니, 부모님)
불면증	insomnia
예민	sensitive, sharp, acute
부부 싸움	a couple's argument, fight
가정 문제	a problem at home, with family
방식	way, method, means
깨다	1) wake up, awaken  2) sober up
수면	sleep (not 자다)
격렬	intensive (~하다)
피하다	to avoid, escape, dodge
소식	light eating, small appetite
이동	movement, migration, transfer
거주	residence
수가	number (not 숫자)
증가	increase (not 늘리다)
운영	run, operation, manage (~하다)
실시	conduct, implement, enforce
노무	labor, work, service
의료 진료	medical treatment, care (2 words)
금융	finance, banking, monetary
인권	human rights, civil rights
주택임대	a rental house
유학정보	study abroad information
취업정보	job information
실질적	practical, actual, real
