공공 기관	public institution, government office
앞면	the front side
안내	information
주로	primarily, mainly, mostly
기관	institution, agency
공문서	an official document
여권	passport
외국인등록증	Alien ID, ARC
공공	public
뒷면	the back, reverse
체류자격	visa type (stay, sojourn)
성별	gender
이름	name
국적	nationality, citizenship
자격	capacity, right, qualification
발급 일자	date of issuance
발급사무소	issuing office, location, authority
여권상 국적	nationality in your passport
허가일지	permitted time of stay (visa)
만료일자	expiration date (visa)
신고서	certificate ᄉ
체류지	residence during sojourn, place of residence
여권번호	passport number
발행관청	issuing government authority, gov't office
출생신고서	birth certificate
가족관계증명서	family relation certificate
통장잔고증명서	certificate of bank balance
혼인신고서	marriage certificate
증명서	certificate ᄌ
개명신고서	name change certificate
신분증사본	copy of ID
사본	a copy
통장사본	copy of a bank book
등본	a certified copy
출입국사실증명서	Immigration certificate
주민등록등본	certified copy of resident registration
출입국관리사무소	Immigration Office
동 주민센터	"Dong" Community Service Center
구청	"Gu" Office
외국인인력지원센터	foreigner support center
지원	support, backing
보건소	community health center
도로교통공단	Road Traffic Authority
공단	public agency, authority, corporation
개발급	reissuance
체류지 변경 신고를 하다	report a change of address
체류기간을 연장하다	to extend the period of stay (visa)
발급받다	to be issued (visa, ID, certificate)
떼다	to take off, remove, detach
구직상담을 받다	to receive job consultation
건강검진을 하다	to get a physical, medical checkup
예방접종을 하다	to get a vaccination, shot, injection
운전면허를 따다	to get a drivers' license, obtain (no 증)
따다	to get, obtain, grab (fruit, license, language, fruit)
갱신	renew, renewel
운전면허증을 신청하다	to apply for a drivers' license
운전면허증을 갱신하다	to renew a driver's license (if expired)
운전면허증을 개발급 받다	to receive a reissued driver's license (if lost)
