불가능하다	to be impossible
개발하다	1. to develop 2. to tap into, to exploit
개척하다	to exploit
거래	transaction
건의하다	to make a proposal, to make a suggestion
건축가	architect
검사	prosecutor
판사	judge
변호사	lawyer
결과	result
원인	cause
정하다	to decide
경영하다	to run a business
경쟁	competition
계약	contract
고대	ancient time
증세	middle ages
근대/현대	modern times
공장	factory
과학자	scientist
국가	nation
국회의원	congressman
그대로	1. as it is 2. the same
변함없이	without change
근로자	laborer, worker
노동자	worker
근무하다/일하다	to work
능력	ability, skill
실력	capability
담당하다	to be in charge of
대통령	president
부통령	vice president
도전하다	to challenge
디자이너	designer
마치다	to finish, to put an end to
끝내다	to end
맡다	to take on, to be put in charge of
면접시험	oral interview, test in the form of an interview
구술시험	oral test
필기시험	written test
목수	carpenter
목표	goal
발견하다	to discover, to uncover
발명하다	to invent
발달하다	to develop, to improve
발전하다	to improve
번화하다	to be busy, to be bustling
붐비다	to be crowded
벌이다	1. to start, to begin 2. to arrange
늘어놓다	arrange
보고하다	to report
부담	1. responsibility, burden 2. to cover expenses
뽑다	to pull out something that is stuck
부담하다/내다	to pay
선출하다	to elect
사정	reason, circumstance
형편	situation
상관	superior, boss
상사	boss
부하	junior, lower leveled employee
서류	document
문서	papers
성공하다	1. to succeed 2. to achieve honor or recognition
실패하다	to fail
세기	century
세월	time, flowing of time, long passage of time
순간	1. moment, instant 2. as soon as
승진하다	to promote
진급하다	to go up in level
시인	poet
시절	time, days
시대	generation
신상품	new products
신제품	new product
신형	new style, latest model
최신형	latest style
실수하다/잘못하다	to make a mistake
아나운서	announcer, broadcaster
야근	late-night shift, working overtime at night
어느새	before one knows it, all of a sudden
업무	office work
여유	free time, composure
여유롭다	to be calm and composed
여가	leisure
영향	influence
예전	before, in the past
이전	before
예정	schedule, plan
예정대로	as expected
예상	expectation
외교관	foreign diplomat
대사	ambassador
짓다	1. to build, to make 2. to write 3. to prepare medicine
세우다	to build
최초	earliest
최후	latest
출세	to rise to a high position, to be successful in life
탤런트	an actor or actress that appears on a television drama
연예인	entertainer
파일	1. file (office) 2. electronic file 
서류철	file
프로게이머	professional computer/online gamer
한산하다	to be dull, to be inactive, to slack off
한가하다	to rest from work
봄비다	to be crowded and busy
해결하다	to solve
형식적이다	to be superficial, to be formal (exterior)
획일적이다	to be standard, to be uniform
효율적이다	to be efficient
능률적이다	efficient
비효율적이다	ineffective
흣날	a future time
오늘날	these days
흐르다	1. to go by (time) 2. to flow (falling of a substance as it goes by)
