,0,1
0,가까이,"1. nearby, close to 2. around(time) 3. close to someone"
1,멀리하다,to be distant from someone
2,가득,full
3,가만히,"1. still, motionless 2. secretly"
4,결국,finally
5,마침내,in the end
6,결심하다,"to determine, to make one's mind up"
7,마음먹다,to make a resolution
8,결정하다,to decide
9,고치다,1. to fix 2. to treat 3. to correct 4. to change
10,수리하다,to repair
11,치료하다,to cure
12,바로잡다,"to correct, to rectify"
13,수정하다,to revise
14,괜히,in vain
15,공연히,"for nothing, without purpose"
16,그냥,1. as it is 2. just 3. nothing more than
17,그대로,in the same way
18,깜짝,in a state of shock or disbelief
19,꺼내다,"1. to take out 2. to mention, to bring up a topic"
20,꽤,quite
21,제법,"pretty, fairly"
22,낡다,to be worn out
23,오래되다,to be old
24,낫다,to be good/better
25,못하다,to be worse off
26,내내,continuously
27,줄곧,constantly
28,넘어지다,to fall over
29,다듬다,"1. to trim 2. to prepare, to prune"
30,손질하다,"to repair, to mend"
31,정리하다,"to organize, to arrange"
32,당장,right now
33,더구나,moreover
34,게다가,besides
35,더군다나,in addition
36,들르다,to stop by
37,거치다,to go through
38,때때로,occasionally
39,이따금,from time to time
40,떠오르다,"1. to recollect 2. to rise, to float"
41,생각나다,to remember
42,솟다,"to rise, to soar"
43,떨어뜨리다,to drop
44,떨어트리다,to let fall down
45,또한,also
46,마침,just in time
47,하필,"why, of all times and places"
48,만족하다,to be satisfied
49,불만족하다,to be dissatisfied
50,맞벌이,"dual income, a couple in which both members work and provide an income"
51,모습,appearance
52,모양,shape
53,모으다,to gather
54,모이다,to gather
55,몰다,"to steer, to navigate"
56,몰래,secretly
57,슬쩍,"stealthily, furtively"
58,무조건,"unconditionally, no questions asked"
59,묶다,"1. to make a knot, to tie 2. to bind, to tie down"
60,묻다,"1. to bury 2. to stain, to stick, to be covered"
61,밀다,to push
62,당기다,to pull
63,밟다,to step on
64,디디다,to step on
65,방금,just now (in the past)
66,금방,"in a little bit, not too long ago (past or future)"
67,방문하다,to visit (formally)
68,변경하다,"to alter, to modify"
69,변하다,"to become different, to turn into"
70,변화하다,to transform
71,봉사하다,to volunteer
72,비교하다,to compare
73,서늘하다,to be chilly
74,선선하다,to be cool
75,슬슬,slowly
76,아까,"a moment ago, just before"
77,아무래도,"no matter what, inevitably"
78,알리다,"to let know, to make known"
79,약간,"somewhat, a few, a little"
80,다소,"more or less, a little bit"
81,어쩌면,"1. perhaps 2. how, what"
82,어쩜,maybe
83,점점,"little by little, gradually"
84,점차,steadily
85,차차,little by little
86,차츰,gradually
87,정거장,"station, stop"
88,줍다,"to gather, to pick up"
89,즐기다,1. to enjoy one's time 2. to enjoy a sport 3. to enjoy food or drinks
90,진하다,"1. to be dark, to be deep 2. to be strong"
91,옅다,to be light
92,연하다,"to be weak, light"
93,짜다,"1. to make a plan 2. to pop, to wring, to squeeze"
94,세우다,to devise
95,차례,"order, turn"
96,순서,order
97,충고하다,to advise
98,조언하다,to give advice
99,특기,"specialty, talent"
100,펴다,"1. to straighten out, to open, to stretch, 2. to open 3. to smooth out"
101,접다,to fold
102,개다,to fold
103,말다,to roll up
104,구기다,"to crumble, to crush"
105,평소,on average
106,평상시,normally
107,푹,fully
108,향기,"scent, fragrance"
109,혹은,or
110,활용하다,to use (for a good purpose)
111,흔히,commonly
0,가구,"household, family"
