불합리하다	to be irrational
빈틈없다	to be tight, to be astute
빠듯하다	to be tight, to be barely enough
빡빡하다	to be dry and hard, to be tight, to be rigid
뿌듯하다	to be satisfied
색다르다	to be unsual
선명하다	to be clear
성숙하다	to be mature
소박하다	to be simple
소중하다	to be important
소상하다	to be bothered
수월하다	to be easy
순진하다	to be innocent, to be naive
순하다	to be gentle, to be light
시끌벅적하다	to be boisterous
신중하다	to be cautious
썰렁하다	to be chilly, to be lonely, to be awkward
쓸데없다	to be useless
쓸쓸하다	to be lonely, to be dreary
씁쓸하다	to be bitter
아깝다	to feel regretful, to be regretful
아쉽다	to feel the lack of, to feel sad
아슬아슬하다	to be a close call
안쓰럽다	to be pitiable
안타깝다	to feel regrettable
알차다	to be rich in content
애매하다	to be ambigous
얄밉다	to be odious
어리둥절하다	to be bewildered
어리석다	to be foolish
어마어마하다	to be enormous
어설프다	to be clumsy, to be half asleep
어수룩하다	to be naive
어지럽다	to be dizzy, to be chaotic, to be disorganized
어굴하다	to feel wronged
엄격하다	to be strict
엄숙하다	to be serious, to be solemn
엄청나다	to be tremendous
역동적이다	to be dynamic
엷다	to be pale, to be light, to be faint
올바르다	to be proper
우습다	to be humorous, to be ludicrous, to be laughable
우아하다	to be elegant
원만하다	to be easygoing, to be smooth, to be amicable
