,0,1
0,견해,"opinion, view"
1,결과물,"product, output, result"
2,결식,malnourishment
3,결실을 맺다/보다,come to fruition
4,결심,determination
5,결점,flaw
6,결정,decision
7,결제,payment
8,결핍,"lack, deficiency, absence of sth"
9,결항,cancellation
10,경력자,a person with experience
11,경련,"convulsion, spasm, twitch"
12,경로,"course, route, path"
13,경력,"career, work experience"
14,경매,auction
15,경보,alarm
16,경비실,security office
17,경사,"hill, incline; hurdle"
18,경영,"management, administration"
19,경영난,financial difficulties (of a company)
20,경영자,"manager, executive"
21,경영진,"board of directors, management"
22,경우,"case, circumstances"
23,경이,"a wonder, marvel"
24,경쟁,competition
25,경쟁률,competition rate
26,경쟁심,competitive spirit
27,경쟁자,competitor
28,경제,economy
29,경제력,"financial means, economic power"
30,경품,giveaway
31,경향,"tendency, trend"
32,계곡,valley
33,계발,"development, invention"
34,계약서,contract
35,계층,class (i.e. working class)
36,계획서,plan
37,고개,neck and head
38,고객,customer
39,고견,"another person's opinion, view"
40,고급,high quality; high pay
41,고난,hardship (not ...생)
42,고대인,"ancient people, civilization"
43,고령,old age
44,고민,"worry, anxiety"
45,고부가가치,high value
46,고생,hardship (not 고난)
47,고소,"accusation, charge"
48,고속,high speed
49,고시,official anouncement; exam (usually related to the state)
50,고심해서,painstakingly
51,고위,high rank
52,고유의,"indigenous, inherent"
53,고충,"dilemma, predicament, problem"
54,고통,"pain, agony, torment, torture"
55,곡,"song, a piece of music"
56,곡선,curve
57,곤경,"difficult situation, predicament, fix, jam"
58,곤궁,"poverty, want (not 가난)"
59,곤충,insect
60,골머리,"headache, bother"
61,고혈압,hypertension (high blood pressure)
62,골절,fracture
63,골칫거리,"a trouble, terror, nuisance, headache"
64,곳곳,"everywhere, high and low, here and there"
65,공감,sympathy
66,공격,"attack, offense"
67,공격적,aggressive
68,공고문,notice
69,공공의,public
70,공기업,public enterprise
71,공동,"joint, communal"
72,공략하다,"to target, attack"
73,공로,"service, contribution, good deed"
74,공모,contest
75,공모전,art contest
76,공무원,civil servant
77,공법,construction method; public law
78,공약,"pledge, promise, commitment"
79,공연장,"theater, auditorium, concert hall"
80,공유,sharing
81,공익,"common good, public interest"
82,공인,public figure
83,공지,official announcement
84,공청회,public hearing
85,공통,common
86,공포심,"fear, horror"
87,공표,"official announcement, proclamation (through speech, not writing)"
88,공학,engineering
89,공휴일,national holiday
90,과대,exaggeration
91,과속,"speeding, driving too fast"
92,관객,audience
93,관계자,the persons/parties concerned
94,관광객,tourist
95,관념,"idea, sense, concept, notion, impression"
96,관람객,spectator
97,관련,"relation, connection, association"
98,관리자,supervisor
99,관찰,observation
0,수선을 떨다; 수선 피우다,make a fuss about sth
1,수수께끼,a riddle
2,수술,surgery
3,수신자,recipient
4,수용,"accept, embrace; seating"
5,수입,import; income
6,수준,"level, grade"
7,수출,export
8,수출입,import and export
9,수치심,shame
10,수확,harvest
11,수확량,crop yield
12,숙박,"accommodation, lodging"
13,순간,a moment
14,순환,circulation
15,숨,breath
16,숲,forest
17,스마트폰,smartphone
18,습도,humidity
19,습성,"habit, behavior"
20,승객,passenger
21,승용차,"car, vehicle"
22,승패,outcome
23,시각,"visual; point of view, perspective; time"
24,시기,"time, period"
25,시댁,one's husbands's home
26,시력,vision
27,시범,trial
28,시상식,award ceremony
29,시선,"gaze, one's eyes"
30,시절,one's youth; boyhood
31,시초,beginning
32,시행,"execution, operation"
33,식물,plant
34,식품,food
35,신경,nerves
36,신경질,nervous temperment
37,신고,report
38,신뢰도,"reliability, confidence"
39,신분증,i.d. card
40,신인,"new face, new man"
41,신입,newcomer
42,신장,kidney; an increase
43,신제품,new product
44,신종,new type of
