문의	inquiry
문의처	information desk
문자	message
문제점	problem
문헌	documents, literature
문화재	cultural properties, assets
물류	distribution, logistics
물자	supplies, resources
물질	substance, material, composition
물체	object
물품	goods, things
미만	under, less than
믿음	trust, belief, faith
바위	rock, boulder
바탕	foundation, basis
박람회	expo, exhibition
박사	Ph.D.
박탈감	deprivation; feeling of deprivation
반딧불	glow from a firefly
반론	counter-argument
반박	rebuttal
반사	reflection
반항	defiance, rebellion, insubordination
반환	return, restoration
발급	issuing, issuance of
발신	outgoing
발열원	source of heat
발효	fermentation
방문객	visitor
방어	defense
방언	dialect
방침	policy
배기	exhaust
배송	delivery
배심원	juror, jury
범죄자	criminal
범행	crime
법규	regulation, law
벽지	wallpaper
벽화	mural
변덕	whim
별개	another, a different ~
병균	germs, bacteria
병세	condition, illness
병원비	medical bills
병충해	pests, insects
보배	treasure
보습제	moisturizer
보신	improving one's health
보안	security
보조금	subsidy
보증금	security deposit
보행자	pedestrian
복구	restoration, recovery (not ...원)
복권	lottery
복원	restoration (not ...구)
복장	clothes, attire
복제	reproduction, duplication, copy
복지	welfare
복통	stomachache
복합적	complex; mixed
본격적	in earnest; full scale, full fledged
본능	instinct
봉우리	peak, summit
부상	injury, wound
부작용	side effect
부재중	out (of the office)
부족	deficiency, lack
부패	decomposition, rot; corruption
분기	a quarter (1/4 of a year)
분배	distribution, division, allocation
분별력	judgement
분수	one's place/status in life
분쟁	dispute, conflict, feud
분화	differentiation
불가	not allowed
불가분의	indivisible, inseperable
불감증	insensitivity
불량	sth poor, bad, delinquent
불면증	insomnia
불순물	impurity
불신	mistrust, distrust
불황	recession, slump
비결	secret, key to sth
비교	comparison
비료	fertilizer
비용	cost, expense, charge
비율	ratio, percentage
비중	emphasis, weight
비판	criticism (not...평)
비평	criticism (not ...판)
빈곤	poverty (not ...난)
빈도	frequency
빙하	glacier
빛	light
사고력	thinking skills
사례	example, case
사무국	secretariat
사생활	private life
사실	fact, truth
변덕을 부리다	behave on a whim, unpredictably
분별	discernment, (good) judgement
