사업	business, enterprise
사용량	amount used
사용자	user
사용법	directions, instructions
사연	story; situation, circumstances; reason
사정	situation, circumstances; reason (negative meaning)
사표	letter of resignation
사항	change in a situation
사회	society
사회자	chairman; host of a ceremony/show
산등성이	mountain ridge
산림	forest
산책로	hiking trail
산행	hiking
산호	coral
삶	existence, living
상	prize, award
상가	shopping plaza
상담	counseling
상담원	an agent, counselor
상대	someone; a partner; an opponent
상대방	the opposite party; opponent
상대주의	relativism
상사	higher ranked official; one's superior
상상	imagination
상상력	imagination; imaginative power
상승	a rise
상승세	upward trend
상승폭	an increase, gain
상징물	symbol
상체	upper body
상태	condition
상품권	gift card
상황	condition, situation
색상	colored
색채	colors
생명	life (not 목숨)
생명체	life form, organism (scientific)
생물	living things
생물학	biology
생산	production
생산량	output, yield
생성	creation, formation
생태계	ecosystem
생필품	daily necessities
석탄	coal
선거	election (not... 선)
선발	forerunner
선조	ancestors
선택	choice, selection
선호도	preference
설계	plan, design
설득	persuasion
설명회	meeting, presentation
설문	survey
성분	contents
섬유	fiber, fabric
섭취	intake
성공	success, hit
성곽	castle, fortress
성별	gender
성분	ingredient
성악가	vocalist
성장	growth, development
성취	achievement, fulfillment, success
성향	tendency
성형	plastic surgery
세상	world
세제	cleanser, detergent
세탁	washing, laundry
소각장	incinerator
소감	ones thoughts, opinion
소개서	introduction letter
소극장	small theater
소극적	passive
소득원	source of income
소량	small amount
소멸	dissipation, death, extinction
소모	consumption ( not ...비)
소방관	firefighter
소비	spending, consumption
소비자	consumer
소외감	a sense of alienation
소요 시간	the time required
소유	possession
소음	noise
소재	theme
소화	digestion
속도	speed
속마음	mind
속보	breaking news
손난로	hand warmers
손동작	hand gesture
손실	loss
손잡이	knob
수고	efforts, service
수리	repair
수명	life expectancy
수분	water, moisture
소요 경비	required expenses
