손재주가 좋다	to have good dexterity
이해가 빠르다	to be quick to understand
설득력이 있다	to be persuasive
책임감이 강하다	to have a strong sense of responsibility
소질이 있다	to have talent
적성에 맞다	to match one's aptitude
진로를 정하다	to choose a course; path
전공을 살리다	to utilize one's major
예술적	artistic
실용적	practical
사교적	sociable
소극적	lacking enthusiasm
적극적	enthusiastic
긍정적	positive; affirmative
부정적	negative; pessimistic
한국학과	Korean studies
떨어지다	to fall; drop
붙다	to pass; stick
기회	opportunity
소리를 내다	to say outloud
하루 종일	every day
언젠가는	sometime or other
성공하다	to be successful
나중에는	later on
서너 번	three or four times
밥을 사다	to buy food
승진	promotion; advancement
속상하다	to be upset; distressed
참석하다	to attend
암벽등반	rock climbing
교수님	teacher; professor
합격하다	to pass
결국	finally; eventually
해내다	to accomplish
알아듣다	to follow; understand
적응하다	to adjust; adapt
금방	soon
인턴사원	intern
뽑히다	to be chosen; pulled
올해	this year
오디션	audition
반대하다	to oppose
설득하다	to persuade
꿈을 이루다	to achieve one's dream
마음이 맞다	to be like-minded
특징	special characteristic
반찬	side dishes
요리법	recipe
스스로	by ones self
해결하다	to settle; resolve
장점	advantage; strength
속도	speed; pace
차이점	difference
젓가락	chopsticks
다른 점	another point
상식	common sense
조언하다	to advice
쉽게	easily
문제가 풀리다	to have a problem be resolved
인사	greeting
따라하다	to follow
음감	pitch
따르다	to be accompanied by
소리	sound
악보	music; score
점점	gradually
매력에 빠지다	to fall for one's charm
분야	area; field
들어주다	to grant
상담하다	to counsil; consult
매력	charm; appeal
의논하다	to have a discussion; conversation
작곡	music composition
작사	lyric composition
글을 쓰다	to write
말을 잘하다	to speak well
목소리	voice
패션 감각	fashion sense
리더십	leadership
성실하다	to be diligent
명확하게 설멍하다	to explain clearly
성우	voice actor
선택하다	to select; choose
예전	the old days
방송	broadcasting
프로그램	program
연극영화과	Dept. of Theatre and Film
신문방송학과	Dept. of Mass Media/Communication
진학하다	to enter; get into
관련되다	to hand-in-hand; have sth to do with
학점	credit; grade
집중하다	to focus; concentrate
그만두다	to quit
도움	help
늘리다	to have improved; increased
돈을 내다	to submit money
두렵다	to be fearful; scared
전공하다	to major in
앞두다	to have sth ahead
보람을 느끼다	to feel worth it
기획하다	to devise a plan
여행객	tourist
여행 가이드	tour guide
서비스업	service industry
적극적이다	to be enthusiastic; active
업무	work; task
능력	ability
항공사	airline
근무하다	to be on duty
승객	passenger
승무원	crewmen
평소에	ordinarily
법과대학	College of Law
경영대학	College of Business
인문대학	College of Humanities
사회과학대학	College of Social Sciences
자연과학대학	College of Environmental Science
공과대학	College of Engineering
외과대학	College of Medicine
약학대학	College of Pharmacy
미술대학	College of Art
음악대학	College of Music
사범대학	College of Education
체육대학	College of Sports/Exercise Science
농업생명과학대학	College of Agriculture
생활과학대학	College of Community/Life
수의과대학	College of Veterinary Medicine
철학	Philosophy
정치학	political science
수학 교육	Math Education
화학	Chemistry
식품 영양학	Nutrition and Food Science
컴퓨터 공학	Computer Engineering
동양화	Oriental Painting
