의견	opinion
행동	behavior
말도 안 되다	to be out of the question
현실성이 없다	to be impractical
얖뒤가 안 맞다	to be incoherent
논란이 되다	to be controversial
문제가 안 되다	to not matter
배려를 하다	to be considerate
불편을 주다	to cause an inconvenience
양해를 구하다	to ask to be excused
양심이 없다	to have no conscience
방해가 되다	to be in the way
젓가락질	using chopsticks
망치질	hammering
도둑질	stealing
손가락질	pointing a finger
딸꾹질	hiccuping
포기하다	to give up; forgo
훔치다	to pilfer; steal
연애하다	to date; go out
우정	friendship
육체노동	manual labor
정신노동	mental labor
진심	sincerity
세디 차이	generation gap
용기	courage; guts
관계를 끊다	to cut off relations
청혼을 하다	to propose
기대다	to lean
미래	the future; in advance
공공장소	public area; space
냄새가 나다	to stink
옳다	to be right; proper
그르다	to be wrong; incorrect
빨래를 널다	to hang out laundry to dry
좌석	seat
젖히다	to bend; lean back
주민	resident
관리사무소	management office
이웃집	neighboring house
들려오다	to come into hearing
소음	noise
불편을 겪다	to experience
항의	complaint; protest
악기	instrument
진행하다	to progress
대표	representative
금지하다	to be prohibited
한밤중	the middle of the night
따라서	therefore; thus
개인	individual; personal
사회생활	social life
경우	case; circumstance
비용	cost; expense
음식물	food and drink
반입	carry
상영관	theatre
건의하다	to propose; suggest
개봉되다	to be released
잔뜩	very; quite
집중하다	to concentrate; focus
코를 막다	to hold one's nose
음향 시설	acoustics
당장	right away; right now
우선	first; above all
지정하다	to designate
늘려가다	to increase
생생하다	to be vivid; graphic
묻다	to ask; inquire
도로	road
경제적	economical; financial
임금님	king; monarch
백성	subjects
대궐	palace
달아 놓다	to charge
북	drum
초기	beginning; early part
설치하다	to install
사연	story; situation
민원 창구	a window for civil complaints
