건물	building
강의실	lecture room
멀티미디어실	multimedia room
보건실	school infirmary
컴퓨터실	computer lab
탁구장	table tennis room
과	department
교환 학생	exchange student
보고서	a report/paper
학생증	studend ID card
학점	academic grades
후배	a junior
가입하다	to join/become member of
신청하다	to apply for
신청서	application form
모이다	gather/get together
모임	a gathering
대출	Lending
반납	return
반납하다	to return
반납일	return date
연체료를 내다	to pay a late fee
이용 규칙	terms of use
규칙을 지키다	to follow the rules
맞은편	opposite side
매주	each week
복도	corridor
지하	Underground
홈페이지	homepage
출력하다	to print out
다다음 주	2 weeks from now
-이,가 닫히다	to be closed (passive)
-이,가 지나다	to be overdue
반납일이 지나다	to pass the due date
이,가 -에게 혼나다	to get scolded
경비 아저씨	security guard
놓고 나오다	to put something somewhere and leave
사실은	actually/the truth is
주의 사항	points to be careful of
당연하지!	of course!
언어	language
자신감	self confidence
자신감이 생기다	to gain self confidence
환경	environment/surroundings
경험하다	to experience
느끼다	to feel
느낀 점	what one felt
-이,가 늘다	to improve
-에 적응하다	to adapt
해결하다	to solve (a problem)
새롭다	to be new/unfamiliar
익숙하다	to be familiar with
점점	gradually
한국 사람이 다 됐대요	they say I became like a Korean.
