발표 주제	topic of a presentation
이등병	a private (in the army)
한국 사람치고 모르는 사람이 없다	there's not a Korean who hasn't heard of (something)
세상을 떠나다	to die
그리워하다	to miss
음반 재킷	album cover
즐겨 듣다	to listen to often or regularly, to enjoy listening to
목소리가 독특하다	to have a unique voice
군대에 가다	to join the army, to enlist
가사	song lyrics
의미	meaning
입대하다	to enter the army (for one's compulsory military service)
아쉬움이 남다	to feel that something is missing or incomplete, to regret
더욱	even more
들려주다	to let (someone) hear, to play (a song for someone)
격식체	formal speech style
지원하다	to apply for (ie. job)
현금 인출기	ATM
열정적이다	to be passionate
시각 자료	visual aid (in presentation or lecture)
슬라이드	slide (in a presentation)
떠오르다	to come to mind
길거리	street
산적	Korean shish kebab
재료를 꼬치에 끼우다	to put (ingredients) on a skewer
구워 먹다	to grill (and eat), to roast
궁중 떡볶이	palace-style 떡볶이
조선시대	the Joseon period
왕	king
양반	the upper class during the Joseon period
뿐만 아니라	in addition
끓이다	to boil (ie. water or soup)
사람들이 신기해하다	(people) are amazed
썰다	to chop, to cut (when cooking)
삶은 계란	boiled egg
양념이 걸쭉해지다	to thicken (when the seasoning is evenly distributed in a soup)
참깨	sesame seeds
평가하다	to assess, to evaluate
발표 태도	attitude during the presentation
흥미롭다	interesting, engaging
눈을 맞추다	to make eye contact
그러므로	therefore, for that reason
관심 분야	area of interest
수집하다	to collect (items or information)
설문 조사	survey, poll
동영상	video
서론	introduction (of a paper or presentation)
본론	body (of a paper or presentation)
결론	conclusion (of a paper or presentation)
구성하다	to form, to make up, to organize
또박또박 말하다	to speak clearly and articulately, to enunciate
효과적으로	effectively
시각 자료	visual aid (used in a presentation or lecture)
불필요하다	to be unnecessary
헛기침	the cough used when clearing one's throat
자연스럽게	naturally, not awkwardly
집중하다	to concentrate, to focus
충분히	sufficiently, enough, fully
학자	scholar
정치가	politician
유학	Confucianism
-에 힘을 다하다	to devote one's energy to -, to dedicate oneself to -
제자	pupil, student, disciple
발명	invention (of a new device)
정치	politics
경제	economy
과학	science
예술	art
모든 면에서	in every area, on every side
업적을 남기다	to leave behind lasting achievements
지폐	paper money
존경하다	to respect, to admire
인물	character, historical figure
공통점	something in common
차이점	something different between two things
학문	learning, one's studies
연구하다	to research, to study
의복 문화	traditional attire
신분	one's social status
역할	role, part
관리	bureaucrat, government official
숨은 그림	hidden picture
반짝이다	to glitter, sparkle
숫자	number
태극 무늬	Taegeuk pattern
빛에 비추다	to shine a light on
돈을 들어서 비춰 보세요	"Try holding the bill up to the light."
위조 지폐	counterfeit currency
방지하다	to prevent, to stop (something from happening)
