의견이 다르다	to have a different opinion
마음을 바꾸다	to change one’s mind
드릴 말씀이 있는데요	“I have something to tell you” (honorific)
독립하다	to be independent
독립해서 살다	to live on one’s own, to live independently
제정신이니?	“Are you in your right mind?” (반말)
파김치가 되다	to be completely worn out (“to become green onion kimchi”)
예전	in the past, a long time ago
무조건	unconditionally, absolutely
경비 시스템	home security system
집값	price of a house, rent
저금하다	to save money (by putting it a savings account)
모아두다	to save up, to put aside
보증금	deposit, key money
절약하다	to save money by reducing expenses and being frugal
아껴 쓰다	to use sparingly, to conserve
도움 없이	without (someone’s) help
아무리 생각해도 이해가 안 돼요	“Try as I might, I just don’t understand”
신경 써야 할 게 한두 가지가 아니에요	“You will have your hands full” (You don’t have to worry about just one or two things)
고생을 사서 하다	to choose to suffer, to be a glutton for punishment
길에 버리는 시간이 너무 아까워요	“It’s a shame to waste so much time on the road”
차라리	rather, instead (when choosing the lesser of two evils)
-게 해 주세요	“Please let me (do -)”
설득하다	to persuade
품질이 좋다	to be of good quality
품질이 나쁘다	to be of bad quality
성공하다	to succeed, to be successful
키우다	to raise
제대로	properly, formally
환불이 안 되다	to be non-refundable
국제 영화제	international movie festival
단풍이 지다	the autumn leaves fall
A는 B가 최고다	B is the best for A
감독	director (of a movie)
역시 너밖에 없어	“You’re the best!” (반말)
추억을 쌓다	to make good memories
생각이 들다	to get the idea, to occur to one
진지하게	seriously
경제가 안 좋다	the economy is in trouble/not good
승진하다	to be promoted at one’s job
공익광고	public service announcement
메시지	message
음식을 남기다	to leave food, to have leftovers
음식물 쓰레기	food garbage
-을 줄이다	to reduce, to decrease -
선율	melody, tune
이웃	neighbour
고통	pain
배려	consideration
층간 소음	noise between floors in a building
갈등	conflict, feud
마음 쓰다	to be considerate of, to think about someone else
만원 버스	a packed bus
일으켜 주다	to pick up, to lift an object
휠체어	wheelchair
충분하다	to be sufficient, to be enough
매연	smoke, exhaust, fumes (emitted from vehicles or smokestacks)
-을 오염시키다	to pollute, to contaminate -
환경 보호	conservation of the environment
자기 소개서	cover letter, letter of introduction
성장 과정	growing up
경력	job experience, career
지원 동기	reason or motivation for applying for a job
포부	aspiration, ambition
전형적이다	to be typical (of a given category or class)
자녀	(one’s) children
매사	all the time, in every situation
책임감이 강하다	to have a strong sense of responsibility
다만	but, however
상상력이 풍부하다	to have an active imagination
엉뚱하다	to be unexpected, to be inappropriate
사회 심리	social psychology
졸업 논문	graduation thesis
관련성	correlation
소중하다	to be precious, to mean a lot (to one)
자신감을 얻다	to gain more confidence
회사에 지원하다	to apply to a company
직원 대우	treatment of employees
자부심을 갖다	to take pride in
전공을 살리다	to make use of one’s major
최선을 다하다	to do one’s best
