,0,1
0,가습기,humidifier
1,에어컨,air conditioner
2,전기 장판,electric mattress pad
3,제습기,dehumidifier
4,선풍기,electric fan
5,전기 히터,electric heater
6,학기 말,end of the semester
7,귀국하다,to return to one’s country
8,얼마 안 남다,not much is left
9,눈 깜짝할 사이에 시간이 지나갔어요,“Time passed in the blink of an eye.”
10,짐,"luggage, things to take on a trip"
11,전압이 안 맞다,the voltage doesn’t match
12,부피가 크다,to be bulky (the volume is big)
13,중고 물건,"used items, second hand good"
14,1인용,one person use
15,가로,width
16,세로,lengthwise (eg. ~ 쓰여 있다)
17,시간을 맞춰 놓고 자다,to set the time and go to sleep
18,저절로,"by itself, automatically"
19,꺼지다,to be turned off
20,전기 포트,electric kettle
21,크기,size
22,리터,litre
23,온도 조절 기능,temperature control function
24,저야 좋지요,“That sounds good to me.”
25,뚜껑이 잘 안 닫히다,the lid doesn’t close very well
26,세게 탁 치다,to tap firmly
27,모양,"appearance, how something looks"
28,감촉,"texture, how something feels"
29,길쭉하다,to be a little long on both ends
30,네모나다,to be in the shape of a square
31,둥글다,to be in the shape of a circle
32,세모나다,to be in the shape of a triangle
33,부드럽다,"to be smooth, soft"
34,푹신하다,to be cushiony
35,딱딱하다,"to be firm, hard"
36,비닐,plastic (ie. bags)
37,유리,glass
38,천,fabric
39,플라스틱,hard plastic
40,이만하다,to be this big
41,스탠드,desk lamp
42,서랍장,set of drawers
43,텀블러,tumbler
44,묘사하다,"to describe (an object, scene)"
45,잠이 안 깨다,to be groggy in the morning
46,아령,dumbbell
47,기대했던 것 이상으로 좋았어요,“It was even better than I expected.”
48,운동이 되다,to serve as exercise
49,알람이 울리다,the alarm goes off
50,30회,30 times
51,그런 게 있어요?,“I hadn’t heard of that before” (lit. Is there such a thing?)
52,길이,length
53,무게,weight
54,킬로그램,kilogram
55,잠이 깨다,to wake up
56,열쇠고리,keychain
57,콘센트,power outlet
58,플러그,plug
59,꽂다,to plug in
60,보관하다,to store
61,빼다,"to pull out, remove"
62,케이블,cable
63,손이 시리다,hands are cold
64,고생하다,"to have a hard time, to suffer"
65,즐겨 쓰다,"to use frequently, to use a lot"
66,아이디어 상품,novelty product
67,새해 결심,New Year’s resolution
68,일석이조,to kill two birds with one stone
69,작심삼일로 끝나다,a resolution is short-lived
70,담배를 끊다,to stop smoking
71,대표적이다,"to be representative, to be a good example"
72,올해,this year
73,멋지다,"to be nice, to be wonderful"
74,아침형 인간,early bird
75,소리를 내다,to make a sound
76,한 손에 쏙 들어오다,to fit right in one’s hand
77,양쪽,both sides
78,바퀴,wheel
79,이리저리,"here and there, in various ways"
80,고무,rubber (material)
81,부서지다,"to break, to fall apart"
82,제시간,"the proper time, on time"
83,변신하다,"to transform into, to turn into"
84,운동 도구,exercise tool
85,발목에 감다,to wrap around one’s ankle
86,실내 장식,interior decorating
87,휴대폰 꽂이,cellphone stand or holder
88,장난감,toy
89,활용하다,to make use of
90,금연,not smoking
91,몸에 해롭다,to be bad for one’s health
92,강력하다,"to be strong, to be powerful"
93,기침하다,to cough
94,재떨이,ashtray
95,폐,lungs
96,담뱃재를 떨다,to flick cigarette ash
97,구멍이 나다,there’s a hole (in something)
98,콜록콜록,cough cough!
99,쌓여 있다,"to be stacked, to be piled up"
100,서랍,a drawer (in a dresser)
101,의미를 두다,to find meaning in
102,추억하다,to remember (fondly)
103,심각하다,"to be serious, to be severe"
104,간직하다,"to have, to keep"
105,추억이 담겨 있다,to contain memories
106,늘어놓다,"to spread out, to arrange"
107,만지다,"to touch, to feel (with one’s hands)"
108,수첩,(pocket) notebook
109,가득,fully
110,적혀 있다,to be written
111,골동품,an antique
112,생생하다,"to be vivid, to be lifelike"
113,떠오르다,to come (to mind)
114,낙서,"doodling, scribbling, graffiti"
115,-는 재미에 빠지다,to be completely absorbed in V- (doing something)
116,물 건너간 것 같아요,“so much for (something)” (used when one’s plans are frustrated)
0,상담실,"counselling room, consultation room"
1,게시판에 글을 올리다,to post (something) on a message board
2,사연,"personal story, situation (often used in the media when someone sends in a personal story)"
3,룸메이트,roommate
4,남,"someone else, other people (someone who is not part of one’s immediate circle)"
5,자기,"oneself, one’s own"
6,남의 것을 자기 것처럼 써요,(He) uses other people’s things like (his) own
7,-에 넣어 두다,to put in - (for future use)
8,날이 갈수록 더 심해지다,to get worse with each passing day
9,사이가 불편해지다,the relationship becomes awkward or uncomfortable
10,냉장고 칸을 나눠 쓰다,to use separate sections of the refrigerator
11,콩 한 쪽도 나눠 먹다,to share even a single bean (refers to the Korean tendency to view food and possessions as being the property of the community)
12,인정이 없다,"to be heartless, to be unfeeling, to be cold hearted"
13,얌체 같다,"to be selfish, to think only of oneself"
14,이런저런,"various, all kinds of"
15,핑계를 대다,to make excuses
16,일을 미루다,"to pass (one’s work to someone else), to put off (something), to delay"
17,불평하다,to complain
18,진짜 이해가 안 돼요,I really don’t understand
19,당장,"right away, at once"
20,노래 한 곡,one song
21,소리를 줄이다,to turn down (the volume)
22,감동적이다,"to be touching, to be moving"
23,장학금,"a financial scholarship, financial support"
24,환경을 보호하다,to protect or preserve the environment
25,아니긴 뭐가 아니야,Of course it is! (used to strongly contradict what someone else has said)
26,얼굴에 고민이 있다고 쓰여 있어,It’s clear that you are struggling with something (“It’s written on your face that you have a dilemma”)
27,반대하다,"to be against, to oppose (ie. someone’s plans)"
28,안정된 생활을 하다,to have a stable lifestyle
29,때로는,"sometimes, from time to time"
30,효과적이다,to be effective
31,쑥스럽다,"to be shy, to feel uncomfortable"
32,성공하다,to succeed
33,밥이나 사,Just by me a meal sometime (a way to respond to someone who is thanking you for doing them a favour)
34,문화 차이,cultural difference
35,존댓말을 쓰다,to use respectful or honorific language
36,도움이 되다,to be helpful
37,사연을 올리다,"to submit a story (to radio, TV, etc)"
38,챙겨 주다,to take good care of (a person)
39,심부름을 시키다,to have (someone) run an errand
40,힘들게 하다,to make things hard for (someone)
41,심부름을 하다,to run an errand
42,-기 어렵다,- to be difficult (to do something)
43,든든하다,"to feel secure, to feel safe"
44,힘이 세다,to be strong (physically)
45,툭 치다,to tap or punch (ie. on the shoulder)
46,버릇,habit (not 습관)
47,-에 멍이 들다,to be bruised on -
48,때리다,"to hit, to slap"
49,상사,"boss, superior (at work)"
50,욕하다,"to curse, to use bad language, to speak badly of (someone)"
51,술자리를 갖다,"to have a drinking party, to go out drinking (as a group)"
52,술자리 분위기가 좋다,the drinking party’s atmosphere is good
53,어쩔 수 없이,"unavoidably, something cannot be helped"
54,권하다,"to recommend, to push (alcohol on someone)"
55,심리적인 특징,psychological characteristics
56,-과 관련이 있다,"to be related to -, to be connected to -"
57,인간 관계,"personal relationships, relationships with others"
58,단결,"solidarity, unity (especially that shared by a group)"
59,기회가 많다,there are many opportunities (to do something)
60,지위,"position, rank, status"
61,평소,"usually, normally"
62,줄어들다,to decrease
63,개인적으로,"on a personal level, personally"
64,최근,"recently, lately"
65,늘다,to increase
0,사슴,a deer
1,쫓아오다,to chase
2,살려 주세요,Please save my life!
3,얼른,"quickly, at once"
4,숨겨주다,"to hide someone, as a favour"
5,뛰어오다,"to run up to, to run towards"
6,가리키다,to point at
7,은혜를 갚다,"to return a favour, to repay a debt"
8,소원,"a wish, a desire"
9,그러자,"at that, after that (one action is immediately followed by another)"
10,장가를 가다,to get married (only for men)
11,비밀,a secret
12,보름달이 뜨다,the full moon rises
