다큐멘터리	documentary
예능	variety show
그대	you (used in poetry, songs)
얘기가 안 통하다	to have trouble communicating
지구	earth
최고	the best
인기	popularity
여배우	actress
벌어지다	to happen, to unfold
만화	cartoon, comics
판타지적 요소	fantasy elements
흥미진진하다	to be exciting, to be captivating
대세	trend, fad
상대 배우	the actor acting alongside someone
왜 이랬다 저랬다 해?	“Why are you going back and forth?” (반말)
무슨 소리야	“What are you talking about?” (반말)
생중계	live broadcast
긴장감을 느끼다	to feel suspense
따라다니다	to follow someone around
모르는 소리 좀 하지 마	“Don’t talk about things you don’t know anything about.”
화면이 끊기다	the image cuts out
잠이 들다	to fall asleep
영화 영상이 아름답다	the movie is beautiful
오싹하다	to feel chills, to be frightened (ie. when watching horror movie)
지루하다	to be boring, to be dull
잔인하다	to be cruel, to be harsh, to be brutal
징그럽다	to be gross, to be disgusting
참신하다	to be original, to be fresh
감동적이다	to be moving, to be touching
감독	director (of a movie)
팬	fan (ie. of a singer)
다섯 손가락 안에 들다	to be one of the finest
로맨틱 코미디	romantic comedy
스턴트 우먼	stunt woman
마법	magic
영혼	spirit, soul
주인공	protagonist
연기하다	to act (on stage, screen)
배꼽이 빠지는 줄 알았어요	“I couldn’t stop laughing.”
전용 도로	restricted road (eg. for bus, bike)
뿌듯하다	to feel satisfied (about accomplishing something)
등산객	mountain climber, hiker
목록	a list
관람 후가	review of a performance
의상	clothing, costume
무대	stage (or overall performance)
가슴이 떨리다	to be full of emotion, to be thrilled
압권이다	to be the highlight, the best part
공양미	rice given as an offering to a Buddhist temple
삼백 석	three hundred sacks
바치다	to offer, to sacrifice (ie. to a god)
평이 좋다	to get good reviews, to be well-received
별 기대 없이	without expecting much
눈을 뜨다	to open one’s eyes
효녀	dutiful daughter
낯설다	to be unfamiliar
빠져들다	to get lost in, to be absorbed in
화려하다	to be fancy, to be splendid
눈을 뗄 수 없다	cannot take one’s eyes off, cannot look away
-이 어우러지다	to be in harmony, to go well together
이벤트에 당첨되다	to be chosen in a promotion
발레	ballet
기대 이상이다	beyond one’s expectations
군무	group dance
역동적이다	to be dynamic
영상	video, image
실감나다	to be realistic
인상적이다	to be impressive, to be memorable
성공적이다	to be successful
한국 전쟁	the Korean War
민족 분단	the division of a people or nation
상징적이다	to be symbolic
차례를 지내다	to perform a ceremony for one’s ancestors
실향민	the displaced, people who cannot return to their homes
포로	prisoner of war
땅굴	cave
터널	tunnel
방해	hindrance, obstruction
근교	suburbs, outskirts
망원경	telescope
가까이	close, near
안타깝다	to be a pity, a shame
마음이 무겁다	to feel down, to have a heavy heart
가슴이 뭉클하다	to be moved, to be touched
한산하다	to be quiet, to be slow, to be slack (business or location)
통일	reunification (of North and South Korea)
휴전 협정	truce, ceasefire
감독하다	to oversee, to supervise, to monitor
공동경비구역	JSA
엄격하다	to be strict
통제하다	to restrict, to control
분위기가 살벌하다	the atmosphere is tense
