고객 서비스 센터	customer service centre
음성 안내	pre-recorded message
배송	shipping, delivery
조회	checking on something
비회원	non-member
별표	an asterisk
구매	a purchase
결제	completing a transaction, making a payment
문의	an inquiry
취소	cancellation
기타	miscellaneous, etc
샵 버튼	#
얼룩이 묻어 있다	to be stained
-이 구겨져 있다	- is wrinkled or crumpled
바느질	sewing, needlework
엉망이다	to be a mess, to be a wreck
반품하다	to return a product
베이지 색	beige colour
실제로 보다	to actually look at
제품	product, goods
상자	box
-이 적혀 있다	to be written down (phone number, note..)
부담하다	to take responsibility for
모니터	computer monitor
문의 사항	a question, something to ask
제조 업체	manufacturer
불편을 드리다	to inconvenience someone
용돈	allowance, pocket money
교통 신호	traffic signal
벌금을 내다	to pay a fine
수업이 폐강되다	a class is cancelled
개강	beginning of a university class or lecture series
최소한	at least, a minimum
옷을 맡기다	to drop off clothes (at a dry cleaner’s)
리본	ribbon
수선비	alteration cost (for clothing)
저희 쪽	we, our end, our side
택배	parcel delivery service
요청하다	to request, to ask for
숙박시설	accommodations, a place to stay
펜션	a bed and breakfast, an inexpensive hotel
콘도	condo
게스트 하우스	guesthouse
민박	a spare room or cottage rented out to travellers
배낭 여행객	a backpacker
길가	roadside, wayside
소음	noise, unpleasant sound
심하다	to be severe, to be serious
손님이 차다	there are no more rooms, there is no vacancy (at a lodging)
방이 비다	a room is empty or vacant
체크 아웃을 하다	to check out of a room
요금	price, cost
문화센터	cultural centre
주민센터	local government office (resident centre)
인원	number of people
모집	recruitment
헛걸음하다	to waste a trip, to go somewhere in vain
싸구려	something that is very cheap
담당자	the person in charge or responsible for something
제대로	properly, in the right way
작동이 안 되다	to not work, to not function
판매점	store, shop
보상을 받다	to be compensated
감정적으로	emotionally
억양	intonation, tone
논리적으로	logically
불만 사항	a reason to complain, something one is dissatisfied with
불량	shoddiness, poor quality
색상	colour of a product
귀사	your company (a respectable form of address used in business correspondence)
소비자	a consumer
주문량	the number of orders
더 이상	any more, any longer (eg. I don’t go there any more)
-을 실망시키다	to disappoint -someone
한 사이즈 작다	one size smaller
한 사이즈 크다	one size bigger
상품 평을 남기다	to leave a product review
일일이	one by one, each and every one
체크하다	to check, to look into
게다가	furthermore, in addition
비용	cost
답변	an answer, reply
불편 사항	an inconvenience, something one finds to be inconvenient
한국관광공사	Korea Tourism Organization
-을 대상으로 조사하다	to conduct a survey of -
중복 응답	multiple responses
단위	unit of measurement
언어 소통	verbal communication
바가지 요금	overcharging, setting the price too high
실태 조사	fact-finding survey
만족도를 높이다	increase the degree of satisfaction
개선하다	to improve
증가하다	to increase
영향	influence, effect
한국 방문의 해를 맞아	on the occasion of Visit Korea Year
즐겨 찾다	to visit frequently, to enjoy visiting
-을 벗어나다	to get out of -a place
표지판	a road sign
제대로 된 번역	a properly done translation, a decent translation
바람	a wish, a desire, a hope
바가지를 쓰다	to be ripped off, to be overcharged
겪다	to undergo, to experience (something unpleasant)
종종	occasionally, sometimes, from time to time
불쾌하다	to be unpleasant, to be offensive
따지다	to make an issue of, to insist on
정부	the government
단속하다	to crack down on, to enforce a law
대규모	large-scale
행사를 유치하다	to host an event
치안	public order and security
긍정적이다	to be positive
부정적이다	to be negative
평가를 하다	to assess, to evaluate
