정차하다	to stop for a moment (eg. bus)
-이 발생하다	- to take place
선발하다	to select, to pick
추돌하다	to collide into from behind, to rear-end (~하다)
기록하다	to record
중단하다	to stop, to suspend (some action or process)
화재	a fire (that causes damage or loss of life)
-여	-around, about (ie. around -a thousand dollars)
옥상	roof, rooftop
대기하다	to stand by, to wait for something
대피하다	to evacuate, to take shelter
-이 침수되다	- to be inundated, to be flooded, to be submerged
추락하다	to crash, to go down (especially a plane)
우수하다	to be excellent, to be outstanding
들이받다	to run into, to hit, to ram
멈추다	to stop (doing something)
기계	a machine
물에 잠기다	to sink in water, to be submerged in water
처리	taking care of, dealing with (a problem or a task)
예방	prevention (eg. of a disease)
대책	countermeasure, a way to address a problem
규모	scale, the size
원인	cause
물음에 답하다	to answer a question
알맞다	to be correct, to be right
곳곳	here and there, in various places
결항	cancellation of a flight
서부 지역	the western region
중부 지역	the central region
남부 지역	the southern region
비가 그치다	the rain stops
승객	passenger (eg. on a bus)
승용차	a car, a sedan
연속으로	in a row, in sequence
음주 운전	drunk driving
추돌 사고	rear-end collision
직후	immediately after
인명 피해	loss of life, casualties
재산 피해	property damage
목격자	an eyewitness
연기가 나다	smoke comes out
원인을 밝히다	to determine the cause
-이 쏟아지다	- to pour (eg. rain)
한때	at one time, at one point
시간당	per hour
기상청	Korean Meteorological Administration (national weather service)
채	counter word for houses
요금이 인상되다	the price increases
이직을 희망하다	to want to move to a different company
수면	sleep
평균	the (statistical) average
요금이 오르다	the price goes up
즐거움을 선물하다	to give joy, to bring pleasure
파업	a labour strike
입사	joining a company, starting work at a company
몸무게	(one’s) weight
포털 사이트	portal site
미만	less than, under
응답자	respondent (to a survey)
운동량	amount of exercise
폭식	to binge, to eat too much
과반수	the majority, more than half
체중 조절	controlling one’s weight
야식	snacking at night
모임을 피하다	to avoid going out with people
효율성	efficiency, effectiveness
업무 효율성	work efficiency
이른 아침	early morning
국민	people of a country, the public, the nation
청년층	young people (as a segment of society)
뇌	the brain
영양소	a nutrient
공급되다	to be supplied
기억력	memory, ability to remember
집중력	concentration, ability to focus
과식	overeating, eating too much
비만	obesity
예방하다	to prevent (eg. disease)
뉴스를 접하다	to come across the news
정치	politics
경제	economy
국제	international
사설	editorial
혼잡하다	to be crowded, to be congested
부상	injury, wound
사망	death
숨지다	to die
졸음 운전	dozing off behind the wheel
전기 누전	short circuit
주방 기구	a kitchen appliance
불꽃	a spark
몇몇	a couple, a few
항의하다	to protest, to complain
요구하다	to ask for, to demand
쓰러지다	to fall down
밀리다	to be pushed by
부상자	an injured person
거꾸로	backward, in reverse, upside down
지하철 측	the subway management or authority
정상적으로 작동하다	to function normally
복권	lottery
-에 당첨되다	to be randomly selected to win (eg. lottery)
-을 역전시키다	to turn around (eg. a game)
대박	jackpot
고액	a large sum of money
당첨금	lottery payout, prize money
파산하다	to go bankrupt
흥청망청 쓰다	to go on a spree, to spend money recklessly
이혼하다	to get divorced, to divorce someone
알코올 중독자	an alcoholic
정상적이다	to be normal
자선 단체	a charity, a charitable organization
기부하다	to donate (eg. money)
가깝게 지내다	to be close to, to be on good terms with
멀어지다	to become estranged, to grow apart
성실하다	to be hard-working, to be diligent
로또	lotto (a game of chance)
골고루	evenly, equally
골고루 나눠 주다	to distribute equally
일학천금	getting rich quick, making a fortune all at once
최소	at least, a minimum of
조언을 구하다	to get the advice of, to consult with
