다니다	to attend (-에)
알리다	to inform
연락처	contact information
이메일 주소	e-mail address
이름이 어떻게 되세요?	What is your name? (polite)
어느 나라에서 오셨어요?	Where are you from?
잠깐만요.	Just a moment.
처음 뵙겠습니다.	How do you do? (polite)
무슨 일 하세요?	What do you do for a living?
농구하다	to play basketball
사귀다	to get to know (a person)
전공하다	to major in, to specialize in
아름답다	to be beautiful
친절하다	to be kind
편하다	to be convenient, to be comfortable
고향	hometown
도시	city
모두	all, every
문화	culture
이제	now
취미	hobby, interest
다시	again, repeat
제일	the -est
또	also, too
하지만	but
아직 잘 못해요.	I can't do (something) well yet.
참 좋아요.	It's really good.
구경하다	to look around
5개월	five months
한 달	one month
1주일	one week
친척	relative
여기저기	here and there
들어오세요.	Come in please.
수고하셨습니다.	Good job!, Good work!
여기 앉으세요.	Please sit here.
죄송합니다.	I'm sorry.
