자전거	bicycle
전시회	exhibition
휴일	holiday
놀이 기구를 타다	to go on a ride at an amusement park
배드민턴을 치다	to play badminton
스케이트를 타다	to skate
할 일이 많다	to have a lot of work to do
신나다	to be excited and very happy
동아리	school club
라틴 댄스	Latin dance
만화 영화	animated movie
헬스클럽	health club
시간이 나다	to have free time (ㅅㄱㅇ ㄴㄷ)
유명하다	to be famous
인기	popularity (for a person)
포스터	poster
표	ticket
회	showing, show times
그 영화에 누가 나와요?	Who is in the movie?
다 팔렸어요.	They are sold out.
뭐라고요?	What (did you say)?
어떻게 하지요?	What should I do?
