갖다 주다	to bring, to take something to someone
결석하다	to be absent from class (used for students)
붙이다	to stick on
사용하다	to use
연기하다	to delay, to postpone
광고	advertisement
그날	that day
날짜	date (ㄴㅉ)
메모지	memo pad
안내 책자	an information guidebook
팩스	fax
프린터	printer
휴게실	lounge, common room
숙제를 내다	to hand in one's homework
출장을 가다	to go on a business trip
팩스가 안 되는데요.	The fax won't go through.
할 수 없지요.	We have no choice., It can't be helped.
필요하다	to need (-이/가)
개인 접시	one's own plate
국	soup
무료	free of charge
반찬	side dishes
밥	boiled rice
숟가락	spoon
식탁	(dining) table
예의	courtesy, etiquette
젓가락	chopsticks
찌개	stew
그러면	then (well then, in that case)
나이가 어리다	to be young (lit. for your age to be young)
손에 들다	to hold in one's hand
음식이 나오다	to bring food out
자리에서 일어나다	to get up from a seat
코를 풀다	to blow one's nose
개인 수업	private tutoring
공연	performance
규칙	rule, regulation
분위기	atmosphere (of a place/person)
선택	choice, option
스무 시간	twenty hours
연극	play
졸업식	graduation ceremony
수업을 듣다	to take a class
20% 이상	more than 20%
분위기가 자유로워요.	The atmosphere is easy going.
