학습 목표	learning objectives
대화	dialogue
과제	task
행동 묘사하기	describing action
복장	clothes
카드	card
텔레비전 프로그램	television program
이용하다	to use
역사	history
태극기	national flag
문장	sentence
완성하다	to complete
선글라스를 쓰다	to wear sunglasses
스카프를 하다	to wear a scarf
장갑을 끼다	to wear gloves
목걸이를 하다	to wear a necklace
귀걸이를 하다	to wear earrings
구두를 신다	to wear shoes
청바지	blue jeans
반지	ring
반	class
상대방	interlocutor
설명하다	to explain
혹시	possibly, maybe
부츠를 신다	to wear boots
주황색	orange colour
소개 받다	to be introduced
유명하다	to be famous
축구 선수	soccer player
정리	wrap up
마임 축제	mime festival
강원도	Gangwon province
보고 싶은	Dear (letters)
호수	lake
떠나다	to leave a place
모두	all
올림	sincerely yours
맞다	to be correct
틀리다	to be incorrect
묻다	to ask
소리 내서 읽다	to read aloud
끊어 읽기	reading with small pauses
그림	picture
홈페이지	homepage
물건을 잃어버리다	to lose an object
알맞다	to be appropriate
경험	experience
먼저	first of all
하늘색	sky blue colour
남색	deep blue colour
회색	gray colour
보라색	purple colour
꼭	surely
빈칸을 채우다	to fill in the blank
독일	Germany
따라하다	to repeat
요약문	summary
완성하다	to complete
역할극	role play
표현	expression
동사	verb
형용사	adjective
명사	noun
부사	adverb
기타 표현	other expressions
옷차림	dress
목걸이	necklace
팔찌	bracelet
