수리하다	to repair
싸우다	to fight
화를 내다	to get angry
우울하다	to be depressed
이상하다	to be strange
아직 안	not yet
항상	always
고민이 있다	to have worries
다른 데에 가다	to go to another place
몸이안좋다	to not feel well
문제가 생기다	to be in trouble
시험을 못 보다	to do poorly on an exam
힘이 없다	to have no energy
그럽시다	let's do that
왜 그럴까요?	whats going on with them?
이게 무슨 소리예요?	what is that noise?
제 생각에는	I think that
돌아가시다	to pass away
울다	to cry
슬프다	to be sad
그림	picture
느낌	impression
때문에	because of
자유롭게 이야기하다	to talk freely
사람마다 생각이 달라요	Every person thinks differently
안 좋은 일이 있어요?	Is there something wrong?
움직이다	to move
결혼식	wedding ceremony
결혼식장	wedding hall
신랑	bridegroom
커피 잔 세트	a set of coffee cups
교통사고가 났어요	There is a traffic accident
근처에 다 왔어요	We are almost there
길을 공사해요	The road is under construction
뭐 하는 분이에요?	What do they do for a living?
10분 남았어요	10 minutes left
저기 결혼식장이 보여요	There we can see the wedding hall
