비교하기	comparing
옛날 이야기	fairy tale
딸 부잣집	family with many daughters
더럽다	to be dirty
다	all
하루에	in a day
샌드위치	sandwich
김밥	Kimbap
그림을 그리다	to draw a picture
그 후	after that time
어느 날	one day
데려가다	take a person along
나타나다	to appear
일을 끝내다	to finish work
일이 끝나요	the work is finished
신발 한 짝	one shoe
아름답다	to be beautiful
특별하다	to be special
신발 주인	owner of shoes
마지막으로	for the last time
기쁘다	to be pleased
착한 마음	warm-heart
오래오래	long long
신데렐라	Cinderella
원님	local magistrate
내용	contents
형제	siblings
액세서리	accessories
부모님	Parents
가계도	family tree
성격	character
막내	the youngest child
비교하다	to compare
