승진하다	to be promoted
약혼하다	to be engaged
축하하다	to congratulate
취직하다	to get a job
편찮으시다	to be sick (hon)
마음이 무겁다	to be depressed
월급이 오르다	to get one's pay raised
같이 식사 한번 해요	let's have a meal together sometime
걱정되겠어요	They must be very worried
그럴게요	I will do that
좋으시겠어요	You must be happy
축하해 주셔서 감사합니다	Thank you for your congratulations
한턱 낼게요	It will be my treat
뜻하다	to mean
죽다	to die
표시하다	to mark
건물	building
까치	magpie
돼지	pig
떡국	rice cake soup
비누 거품	suds
설날	New Year's Day
집들이	housewarming party
층	floor, layer
한자	Chinese characters
휴지	toilet paper
꿈을 꾸다	to dream
다리를 떨다	to shake one's leg
돈을 벌다	to earn money
돈이 생기다	to get money
반가운 손님	welcomed guest
복이 나가다	to lose good fortune
이가 빠지다	to lose a tooth
놓다	to put on
집다	to pick up
금반지	gold ring
돌잔치	1st birthday feast
물건	thing
상	Korean low style table
실	thread
아기	baby
장난감	toy
