날씨	weather
바람이 강하다	to be very windy
쌀쌀하다	to be chilly
안개가 끼어 있다	to be foggy
태풍이 오다	the typhoon is coming
태풍이 지나가다	the typhoon has pass
햇빛이 강하다	to be very sunny
흐리다	to be cloudy
여행지	travel destination
코스	itinerary
풍경	scenery
볼거리	things to see
대나무 숲	bamboo forest
동굴	cave
어시장	fresh fish market
해수욕장	beach
호수	lake
일기 예보	weather report
최고 기온	the highest temperature
최저 기온	the lowest temperature
레스토랑	a restaurant
성당	Catholic Church
한우	Korean beef
한우가 부드럽다	Korean beef is tender
메다	to carry
가방을 메다	to carry a bag
조언하다	to advise
이/가 (보다) 낫다	to be better than
부지런하다	to be diligent
맛이 좋다	to taste good
여러 군데	many places
차가 밀리다	to be lined up
향이 좋다	to smell good
갔다 와서 보자	I will see you when you get back
재미있게 놀다 와	Have fun
낮	daytime
동해안	the east coast
전국적	the entire country
맞다	to be right
틀리다	to be wrong
취소하다	to cancel
22도	22 degrees
돈을 들이다	to spend money
시간을 들이다	to spend time
둘이서 갈게요	the two of us will go
새벽	dawn
시게탑	a clock tower
패스트푸드점	a fast food restaurant
해	the sun
해가 뜨다	to rise
잡다	to catch
아쉽다	to feel a missed opportunity
밤새	all night long
방금	just now
땀이 나다	to be sweaty
살아 있다	to be alive
살아 있는 생선	live fish
