목소리	voice
줄넘기를 하다	to jump rope
허리	lower back
주민 등록 번호	citizen registration number
배가 살살 아프다	to have a slight stomachache
누구나	anyone
육체 건강	physical health
스쿼시	squash
재즈 댄스	jazz dance
요가	yoga
A/S 기사	repairman
사직기	camera
소설책	novel
청소기	vacuum cleaner
구입하다	to buy
광고문	advertisement text
20인치	twenty inches
전자레인지	microwave oven
인형	doll
은색	silver
곰	bear
나무꾼	lumberjack
신령님	divine spirit
어휴	phew
허허허	huh huh huh
병에 걸리다	to fall ill
어지럽다	to be dizzy
농담	joke
치과	dental clinic
만지다	to touch
야경	night view
드라마	drama
떠들다	to talk loud
소리를 높이다	to turn up the volume
잠그다	to lock
바닥	the ground
