TV 홈쇼핑	television home shopping
대형 할인 매장	wholesale discount store
벼룩시장	flea market
인터넷 쇼핑몰	internet shopping site
전자 상가	electronics shopping mall
제품	manufactured products
신제품	new product
전자 제품	electronic goods
면도기	razor
기능	function
건조 기능	dryer function
녹음 기능	recording function
반복 기능	repeat function
음성	voice function
자동 응답 기능	automatic answering function
취침 예약 기능	sleep timer
계산은 어떻게 해 드릴까요?	How would you like to pay?
이게 요즘 제일 잘 나가요	That is selling very fast these days
특별히 찾는 거 있으세요?	Are you looking for something in particular?
기회	opportunity
목록	a list
지난번	last time
할부	(to pay) instalments
돌려주다	to give back
적당하다	to be suitable
버튼이 안 눌러지다	the button doesn't work
빨래를 말리다	to dry laundry
소음이 심해지다	to become noisy
작동이 안 되다	to not work
그럼 이번 기회에 바꿀까요?	Then should we take this opportunity to change it?
어 전자 사전이 왜 이러지?	Uh-oh what's wrong with this electric dictionary?
교환	exchange
무이자	no interest (loan/credit)
반품	returning a product
벨트	belt
색깔	colour
지볼	payment
택배비	delivery fee
품질	quality
구입하다	to purchase
믿다	to trust
입금하다	to deposit money
가능하다	to be possible
불가능하다	to be impossible
간단하다	to be simple
가죽 재킷	leather jacket
신용 카드	credit card
뭐 하나 물어봐도 돼요?	May I ask you something?
뭔데요?	What is it?
기증	donation
기증 받다	to receive a donation
기증하다	to donate
이달	this month
주변	nearby
트럭	truck
후원	philanthropy
후원 천사	a philanthropic angel
모으다	to collect
원하다	to want
싼값에 팔다	to sell cheaply
어려운 사람	disadvantaged person
자원 봉사자	a volunteer
