경찰서	police station
분실물 센터	lost and found centre
사례금	reward money
큰일 났네	A big problem
혹시 이거 아니에요?	Is it this one, by any chance?
매표소	ticket office
소나기	sudden rainfall
수첩	a pocket book
은테	silver frame (glasses)
떨어뜨리다	to drop
젖다	to get wet
네모나다	to be square
깨져 있다	to be shattered
꺼져 있다	to be off
닫혀 있다	to be closed
달려 있다	to be hung
들어 있다	to be inside
떨어져 있다	to fall and remain in place
쓰여 있다	to be written
열려 있다	to be open
켜져 있다	to be on
네, 그렇게 해요	Yes, let's do it that way
어떻게 하죠?	What should we do?
금도끼	golden axe
은도끼	silver axe
쇠도끼	iron axe
산속	in the mountains
소식	news
연못	pond
옛날	ancient time
옛날 옛날에	once upon a time
옛날이야기	an old tale
욕심	greed
욕심이 많다	to be greedy
갖다	to have
갖고 가다	to take something and go
나타나다	to appear
용서하다	to forgive
정직하다	to be honest
엉엉	sound made when crying loudly
일부러	on purpose
남	someone
뒷자리	backseat (car)
쇼핑백	shopping bag
하루하루	day after day
갚다	to repay
거절하다	to refuse
발견하다	to discover
변하다	to change
신고하다	to report
실패하다	to fail
결국	finally
당연히	of course
만약	what if
고민에 빠지다	to fall into worry
두고 내리다	to leave behind (in the car)
