비타민	vitamin
깜빡	for a moment
우리들	we
애들	guys
파마를 하다	to get a perm
스트레스가 풀리다	one's stress is relieved
PD	producer
꽤	quite
각자	each one
토크 쇼	talk show
진행자	host(of a talk show)
너희들	you guys
축제	festival
추측하다	to guess
상	prize
한국어 능력 시험	Test of Proficiency in Korean
일자리	job
방송사 리포터	reporter for a broadcasting company
상대방	the other person
도표	chart
하프 마라톤 대회	half marathon
떨어지다	to be far apart
송년회	year-end party
졸다	to doze off
빨개지다	to blush
노인	an old person
세계	the world
예술가	artist
잘못을 하다	to do something wrong
뮤지컬 배우	musical actor
아나운서	announcer
갖다	to keep
숨바꼭질	hide and seek
가난하다	to be poor
그립다	to miss
소원	one's wish
판단	judgement
상관	relation
눕다	to lie down
취하다	to get drunk
홈 팀	home team
눈물이 나다	to tear up
수염	beard
안타깝다	to feel sorry
저금하다	to save
결정하다	to decide
군대	the army
느리다	to be slow
달리다	running
효과	an effect
