작심삼일	giving up after three days
그만두고 싶었던 적이 한두 번이 아니에요	I have thought of quitting more than once
며칠 하다가 그만두곤 해요	I usually quit after a couple of days
시작이 반이라고 하잖아요	People say that starting is half the battle
논문	dissertation
세월	an instrument
일자리	job openings
돌아보다	to look back
복학하다	to retake a semester
완성하다	to complete
진학하다	to enter
오히려	rather
운전 면허증	driver's license
운전 면허증을 따다	to get a driver's license
음식점을 차리다	to start a restaurant
그동안 고마웠어요	I am grateful to you for that time
무슨 말씀을요	Oh, don't mention it
세월이 참 빠른 것 같아요	Time flies quickly
오히려 제가 감사하죠	No, no, I'm the one who is grateful
상	prize
티켓	ticket
노력하다	to endeavour
뛰다	to run
실천하다	to follow through
열리다	to be held
대회가 열리다	to be held (competition)
게으르다	to be lazy
1등	first place
작년 초	the beginning of the last year
건강 관리	health care
성적표	grades (transcript)
실력	ability
실력이 늘다	to improve ability
실망	disappointment
실망을 하다	to be disappointed
전공과목	required courses
주위	surroundings
주위 사람	close acquaintances
최고	the best
최고의 해	the best year
과/와 어올리다	to hang around with (to mingle)
친구들과 어울리다	to hang around with friends
소중하다	to be valuable
한 해	one year
소홀히 대하다	to treat neglectfully
