,0,1
0,경찰서,police station
1,분실물 센터,lost and found centre
2,사례금,reward money
3,큰일 났네,A big problem
4,혹시 이거 아니에요?,"Is it this one, by any chance?"
5,매표소,ticket office
6,소나기,sudden rainfall
7,수첩,a pocket book
8,은테,silver frame (glasses)
9,떨어뜨리다,to drop
10,젖다,to get wet
11,네모나다,to be square
12,깨져 있다,to be shattered
13,꺼져 있다,to be off
14,닫혀 있다,to be closed
15,달려 있다,to be hung
16,들어 있다,to be inside
17,떨어져 있다,to fall and remain in place
18,쓰여 있다,to be written
19,열려 있다,to be open
20,켜져 있다,to be on
21,"네, 그렇게 해요","Yes, let's do it that way"
22,어떻게 하죠?,What should we do?
23,금도끼,golden axe
24,은도끼,silver axe
25,쇠도끼,iron axe
26,산속,in the mountains
27,소식,news
28,연못,pond
29,옛날,ancient time
30,옛날 옛날에,once upon a time
31,옛날이야기,an old tale
32,욕심,greed
33,욕심이 많다,to be greedy
34,갖다,to have
35,갖고 가다,to take something and go
36,나타나다,to appear
37,용서하다,to forgive
38,정직하다,to be honest
39,엉엉,sound made when crying loudly
40,일부러,on purpose
41,남,someone
42,뒷자리,backseat (car)
43,쇼핑백,shopping bag
44,하루하루,day after day
45,갚다,to repay
46,거절하다,to refuse
47,발견하다,to discover
48,변하다,to change
49,신고하다,to report
50,실패하다,to fail
51,결국,finally
52,당연히,of course
53,만약,what if
54,고민에 빠지다,to fall into worry
55,두고 내리다,to leave behind (in the car)
0,TV 홈쇼핑,television home shopping
1,대형 할인 매장,wholesale discount store
2,벼룩시장,flea market
3,인터넷 쇼핑몰,internet shopping site
4,전자 상가,electronics shopping mall
5,제품,manufactured products
6,신제품,new product
7,전자 제품,electronic goods
8,면도기,razor
9,기능,function
10,건조 기능,dryer function
11,녹음 기능,recording function
12,반복 기능,repeat function
13,음성,voice function
14,자동 응답 기능,automatic answering function
15,취침 예약 기능,sleep timer
16,계산은 어떻게 해 드릴까요?,How would you like to pay?
17,이게 요즘 제일 잘 나가요,That is selling very fast these days
18,특별히 찾는 거 있으세요?,Are you looking for something in particular?
19,기회,opportunity
20,목록,a list
21,지난번,last time
22,할부,(to pay) instalments
23,돌려주다,to give back
24,적당하다,to be suitable
25,버튼이 안 눌러지다,the button doesn't work
26,빨래를 말리다,to dry laundry
